Round,Grand Prix[h],Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Bahrain Grand Prix,Charles Leclerc,Charles Leclerc,Charles Leclerc,Ferrari,Report
2,Saudi Arabian Grand Prix,Sergio Pérez,Charles Leclerc,Max Verstappen,Red Bull Racing-RBPT,Report
3,Australian Grand Prix,Charles Leclerc,Charles Leclerc,Charles Leclerc,Ferrari,Report
4,Emilia Romagna Grand Prix,Max Verstappen[i],Max Verstappen,Max Verstappen,Red Bull Racing-RBPT,Report
5,Miami Grand Prix,Charles Leclerc,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT,Report
6,Spanish Grand Prix,Charles Leclerc,Sergio Pérez,Max Verstappen,Red Bull Racing-RBPT,Report
7,Monaco Grand Prix,Charles Leclerc,Lando Norris,Sergio Pérez,Red Bull Racing-RBPT,Report
8,Azerbaijan Grand Prix,Charles Leclerc,Sergio Pérez,Max Verstappen,Red Bull Racing-RBPT,Report
9,Canadian Grand Prix,Max Verstappen,Carlos Sainz Jr.,Max Verstappen,Red Bull Racing-RBPT,Report
10,British Grand Prix,Carlos Sainz Jr.,Lewis Hamilton,Carlos Sainz Jr.,Ferrari,Report
11,Austrian Grand Prix,Max Verstappen[j],Max Verstappen,Charles Leclerc,Ferrari,Report
12,French Grand Prix,Charles Leclerc,Carlos Sainz Jr.,Max Verstappen,Red Bull Racing-RBPT,Report
13,Hungarian Grand Prix,George Russell,Lewis Hamilton,Max Verstappen,Red Bull Racing-RBPT,Report
14,Belgian Grand Prix,Carlos Sainz Jr.[k],Max Verstappen,Max Verstappen,Red Bull Racing-RBPT,Report
15,Dutch Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-RBPT,Report
16,Italian Grand Prix,Charles Leclerc,Sergio Pérez,Max Verstappen,Red Bull Racing-RBPT,Report
17,Singapore Grand Prix,Charles Leclerc,George Russell,Sergio Pérez,Red Bull Racing-RBPT,Report
18,Japanese Grand Prix,Max Verstappen,Zhou Guanyu,Max Verstappen,Red Bull Racing-RBPT,Report
19,United States Grand Prix,Carlos Sainz Jr.,George Russell,Max Verstappen,Red Bull Racing-RBPT,Report
20,Mexico City Grand Prix,Max Verstappen,George Russell,Max Verstappen,Red Bull Racing-RBPT,Report
21,São Paulo Grand Prix,Kevin Magnussen[l],George Russell,George Russell,Mercedes,Report
22,Abu Dhabi Grand Prix,Max Verstappen,Lando Norris,Max Verstappen,Red Bull Racing-RBPT,Report
Sources:[58][59][228],Sources:[58][59][228],Sources:[58][59][228],Sources:[58][59][228],Sources:[58][59][228],Sources:[58][59][228],Sources:[58][59][228]
