Constructor,Practice drivers,Practice drivers,Practice drivers
Constructor,No.,Driver name,Rounds
Alfa Romeo-Ferrari,98,Théo Pourchaire,"19, 22"
AlphaTauri-Honda RBPT,41,Isack Hadjar,19
Alpine-Renault,61,Jack Doohan,"19, 22"
Aston Martin Aramco-Mercedes,34,Felipe Drugovich,"14, 22"
Ferrari,39,Robert Shwartzman,"13, 22"
Haas-Ferrari,50,Oliver Bearman,"19, 22"
McLaren-Mercedes,29,Patricio O'Ward,22
Mercedes,42,Frederik Vesti,"19, 22"
Red Bull Racing-Honda RBPT,36 37,Jake Dennis  Isack Hadjar,22 22
Williams-Mercedes,45,Zak O'Sullivan,22
Source:[4],Source:[4],Source:[4],Source:[4]
