Round,Grand Prix[f],Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Bahrain Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
2,Saudi Arabian Grand Prix,Max Verstappen,Charles Leclerc,Max Verstappen,Red Bull Racing-Honda RBPT,Report
3,Australian Grand Prix,Max Verstappen,Charles Leclerc,Carlos Sainz Jr.,Ferrari,Report
4,Japanese Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
5,Chinese Grand Prix,Max Verstappen,Fernando Alonso,Max Verstappen,Red Bull Racing-Honda RBPT,Report
6,Miami Grand Prix,Max Verstappen,Oscar Piastri,Lando Norris,McLaren-Mercedes,Report
7,Emilia Romagna Grand Prix,Max Verstappen,George Russell,Max Verstappen,Red Bull Racing-Honda RBPT,Report
8,Monaco Grand Prix,Charles Leclerc,Lewis Hamilton,Charles Leclerc,Ferrari,Report
9,Canadian Grand Prix,George Russell,Lewis Hamilton,Max Verstappen,Red Bull Racing-Honda RBPT,Report
10,Spanish Grand Prix,Lando Norris,Lando Norris,Max Verstappen,Red Bull Racing-Honda RBPT,Report
11,Austrian Grand Prix,Max Verstappen,Fernando Alonso,George Russell,Mercedes,Report
12,British Grand Prix,George Russell,Carlos Sainz Jr.,Lewis Hamilton,Mercedes,Report
13,Hungarian Grand Prix,Lando Norris,George Russell,Oscar Piastri,McLaren-Mercedes,Report
14,Belgian Grand Prix,Charles Leclerc[g],Sergio Pérez,Lewis Hamilton[h],Mercedes,Report
15,Dutch Grand Prix,Lando Norris,Lando Norris,Lando Norris,McLaren-Mercedes,Report
16,Italian Grand Prix,Lando Norris,Lando Norris,Charles Leclerc,Ferrari,Report
17,Azerbaijan Grand Prix,Charles Leclerc,Lando Norris,Oscar Piastri,McLaren-Mercedes,Report
18,Singapore Grand Prix,Lando Norris,Daniel Ricciardo,Lando Norris,McLaren-Mercedes,Report
19,United States Grand Prix,Lando Norris,Esteban Ocon,Charles Leclerc,Ferrari,Report
20,Mexico City Grand Prix,Carlos Sainz Jr.,Charles Leclerc,Carlos Sainz Jr.,Ferrari,Report
21,São Paulo Grand Prix,Lando Norris,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
22,Las Vegas Grand Prix,George Russell,Lando Norris,George Russell,Mercedes,Report
23,Qatar Grand Prix,George Russell[i],Lando Norris,Max Verstappen,Red Bull Racing-Honda RBPT,Report
24,Abu Dhabi Grand Prix,Lando Norris,Kevin Magnussen,Lando Norris,McLaren-Mercedes,Report
Source:[54][161],Source:[54][161],Source:[54][161],Source:[54][161],Source:[54][161],Source:[54][161],Source:[54][161]
