Round,Grand Prix[e],Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lando Norris,Lando Norris,Lando Norris,McLaren-Mercedes,Report
2,Chinese Grand Prix,Oscar Piastri,Lando Norris[f],Oscar Piastri,McLaren-Mercedes,Report
3,Japanese Grand Prix,Max Verstappen,Kimi Antonelli,Max Verstappen,Red Bull Racing-Honda RBPT,Report
4,Bahrain Grand Prix,Oscar Piastri,Oscar Piastri,Oscar Piastri,McLaren-Mercedes,Report
5,Saudi Arabian Grand Prix,Max Verstappen,Lando Norris,Oscar Piastri,McLaren-Mercedes,Report
6,Miami Grand Prix,Max Verstappen,Lando Norris,Oscar Piastri,McLaren-Mercedes,Report
7,Emilia Romagna Grand Prix,Oscar Piastri,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
8,Monaco Grand Prix,Lando Norris,Lando Norris,Lando Norris,McLaren-Mercedes,Report
9,Spanish Grand Prix,Oscar Piastri,Oscar Piastri,Oscar Piastri,McLaren-Mercedes,Report
10,Canadian Grand Prix,George Russell,George Russell,George Russell,Mercedes,Report
11,Austrian Grand Prix,Lando Norris,Oscar Piastri,Lando Norris,McLaren-Mercedes,Report
12,British Grand Prix,Max Verstappen,Oscar Piastri,Lando Norris,McLaren-Mercedes,Report
13,Belgian Grand Prix,Lando Norris,Kimi Antonelli,Oscar Piastri,McLaren-Mercedes,Report
14,Hungarian Grand Prix,Charles Leclerc,George Russell,Lando Norris,McLaren-Mercedes,Report
15,Dutch Grand Prix,Oscar Piastri,Oscar Piastri,Oscar Piastri,McLaren-Mercedes,Report
16,Italian Grand Prix,Max Verstappen,Lando Norris,Max Verstappen,Red Bull Racing-Honda RBPT,Report
17,Azerbaijan Grand Prix,Max Verstappen,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
18,Singapore Grand Prix,George Russell,Lewis Hamilton,George Russell,Mercedes,Report
19,United States Grand Prix,Max Verstappen,Kimi Antonelli,Max Verstappen,Red Bull Racing-Honda RBPT,Report
20,Mexico City Grand Prix,Lando Norris,George Russell,Lando Norris,McLaren-Mercedes,Report
21,São Paulo Grand Prix,Lando Norris,Alexander Albon,Lando Norris,McLaren-Mercedes,Report
22,Las Vegas Grand Prix,Lando Norris,Max Verstappen,Max Verstappen,Red Bull Racing-Honda RBPT,Report
23,Qatar Grand Prix,Oscar Piastri,Oscar Piastri,Max Verstappen,Red Bull Racing-Honda RBPT,Report
24,Abu Dhabi Grand Prix,Max Verstappen,Charles Leclerc,Max Verstappen,Red Bull Racing-Honda RBPT,Report
Sources:[66][144],Sources:[66][144],Sources:[66][144],Sources:[66][144],Sources:[66][144],Sources:[66][144],Sources:[66][144]
