0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Pos. Driver AUS CHN JPN BHR SAU MIA EMI MON ESP CAN AUT GBR BEL HUN NED ITA AZE SIN USA MXC SAP LVG QAT ABU Points 1  Lando Norris 1PF 28 F 2 3 4F 21 F 2 1PF 2 18† 1P 1 23 P 1 18† 2F 7 3 2 1P 11 P DSQP 43 3 423 2  Max Verstappen 2 43 1P 6 2P 4P 1F 4 10 2 Ret 5P 41 9 2 1P 1PF 2 11 P 3 34 1F 14 1P 421 3  Oscar Piastri 9 12 P 3 1PF 1 12 3P 3 1PF 4 2F 2F 12 2 1PF 3 Ret 4 5 5 5 DSQ 21 P F 2 410 4  George Russell 3 34 5 2 5 34 7 11 4 1PF 5 10 5 3F 4 5 2 1P 62 7F 43 2 62 5 319 5  Charles Leclerc 8 DSQ5 4 4 3 7 6 2 3 5 3 14 34 4P Ret 4 9 6 35 2 Ret5 4 8 4F 242 6  Lewis Hamilton 10 DSQ1 7 5 7 83 4 5 6 6 4 4 7 12 Ret 6 8 8F 44 8 Ret7 8 12 8 156 7  Kimi Antonelli 4 67 6F 11 6 67 Ret 18 Ret 3 Ret Ret 16F 10 16 9 4 5 138 F 6 22 3 56 15 150 8  Alexander Albon 5 7 9 12 9 5 5 9 Ret Ret Ret 8 6 15 5 7 13 14 146 12 11F Ret 11 16 73 9  Carlos Sainz Jr. Ret 10 14 Ret 8 9 8 10 14 10 DNS 12 186 14 13 11 3 10 Ret3 17† 13 5 38 13 64 10  Fernando Alonso Ret Ret 11 15 11 15 11 Ret 9 7 7 9 17 5 8 Ret 15 7 10 Ret 146 11 77 6 56 11  Nico Hülkenberg 7 15 16 DSQ 15 14 12 16 5 8 9 3 12 13 14 DNS 16 20 8 Ret 9 7 Ret 9 51 12  Isack Hadjar DNS 11 8 13 10 11 9 6 7 16 12 Ret 208 11 3 10 10 11 16 13 8 6 18† 17 51 13  Oliver Bearman 14 8 10 10 13 Ret 17 12 17 11 11 11 117 Ret 6 12 12 9 9 4 6 10 Ret 12 41 14  Liam Lawson Ret 12 17 16 12 Ret 14 8 11 Ret 6 Ret 8 8 12 14 5 15 11 Ret 7 14 9 18 38 15  Esteban Ocon 13 5 18 8 14 12 Ret 7 16 9 10 13 155 16 10 15 14 18 15 9 12 9 15 7 38 16  Lance Stroll 6 9 20 17 16 165 15 15 WD 17 14 7 14 7 7 18 17 13 12 14 16 Ret 17† 10 33 17  Yuki Tsunoda 12 166 12 9 Ret 106 10 17 13 12 16 15 13 17 9 13 6 12 77 11 17 12 105 14 33 18  Pierre Gasly 11 DSQ 13 7 Ret 138 13 Ret 8 15 13 6 10 19 17 16 18 19 19 15 108 13 16 19 22 19  Gabriel Bortoleto Ret 14 19 18 18 Ret 18 14 12 14 8 Ret 9 6 15 8 11 17 18 10 Ret Ret 13 11 19 20  Franco Colapinto 16 13 15 13 15 DNS 19 18 11 17 19 16 17 16 15 15 14 20 0 21  Jack Doohan Ret 13 15 14 17 Ret 0 Pos. Driver AUS CHN JPN BHR SAU MIA EMI MON ESP CAN AUT GBR BEL HUN NED ITA AZE SIN USA MXC SAP LVG QAT ABU Points Sources:[147][148][149][144],"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap Superscript number Points-scoring position in sprint",,,,,,,,,,,,,,,,,,,,,,,,,
Pos.,Driver,AUS,CHN,JPN,BHR,SAU,MIA,EMI,MON,ESP,CAN,AUT,GBR,BEL,HUN,NED,ITA,AZE,SIN,USA,MXC,SAP,LVG,QAT,ABU,Points
1,Lando Norris,1PF,28 F,2,3,4F,21 F,2,1PF,2,18†,1P,1,23 P,1,18†,2F,7,3,2,1P,11 P,DSQP,43,3,423
2,Max Verstappen,2,43,1P,6,2P,4P,1F,4,10,2,Ret,5P,41,9,2,1P,1PF,2,11 P,3,34,1F,14,1P,421
3,Oscar Piastri,9,12 P,3,1PF,1,12,3P,3,1PF,4,2F,2F,12,2,1PF,3,Ret,4,5,5,5,DSQ,21 P F,2,410
4,George Russell,3,34,5,2,5,34,7,11,4,1PF,5,10,5,3F,4,5,2,1P,62,7F,43,2,62,5,319
5,Charles Leclerc,8,DSQ5,4,4,3,7,6,2,3,5,3,14,34,4P,Ret,4,9,6,35,2,Ret5,4,8,4F,242
6,Lewis Hamilton,10,DSQ1,7,5,7,83,4,5,6,6,4,4,7,12,Ret,6,8,8F,44,8,Ret7,8,12,8,156
7,Kimi Antonelli,4,67,6F,11,6,67,Ret,18,Ret,3,Ret,Ret,16F,10,16,9,4,5,138 F,6,22,3,56,15,150
8,Alexander Albon,5,7,9,12,9,5,5,9,Ret,Ret,Ret,8,6,15,5,7,13,14,146,12,11F,Ret,11,16,73
