Pos.,Constructeurs,Pilotes,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Points
-,McLaren- Mercedes,NOR,,,,,,,,,,,,,,,,,,,,,,,,,0
-,McLaren- Mercedes,PIA,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Mercedes,RUS,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Mercedes,ANT,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Red Bull- RBPT-Ford,VER,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Red Bull- RBPT-Ford,HAD,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Ferrari,LEC,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Ferrari,HAM,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Williams- Mercedes,ALB,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Williams- Mercedes,SAI,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Racing Bulls- RBPT-Ford,LAW,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Racing Bulls- RBPT-Ford,LIN,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Aston Martin- Honda,ALO,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Aston Martin- Honda,STR,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Haas- Ferrari,BEA,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Haas- Ferrari,OCO,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Audi,HUL,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Audi,BOR,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Alpine- Mercedes,GAS,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Alpine- Mercedes,COL,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Cadillac- Ferrari,PER,,,,,,,,,,,,,,,,,,,,,,,,,0
-,Cadillac- Ferrari,BOT,,,,,,,,,,,,,,,,,,,,,,,,,0
