#,Constructeur,Nationalité,Victoires,Période,Première victoire,Dernière victoire
1,Ferrari,Italie,249[2],1950–,Grande-Bretagne 1951,Monza 2024
2,McLaren,Royaume-Uni,200,1966–,Belgique 1968,Pays-Bas 2024
3,Mercedes,Allemagne,127,"1954–1955, 2010–",France 1954,Belgique 2024
4,Red Bull,Autriche,117,2005–,Chine 2009,Espagne 2024
5,Williams,Royaume-Uni,114,1978–,Grande-Bretagne 1979,Espagne 2012
6,Team Lotus,Royaume-Uni,79,1958–1994,Monaco 1960,Détroit 1987
7,Alpine/Renault,France,36,"1977–1985, 2002–2011, 2016–",France 1979,Hongrie 2021
8,Brabham,Royaume-Uni,35,"1962–1987, 1989–1992",France 1964,France 1985
9,Benetton,Royaume-Uni  Italie[note 1],27,1986–2001,Mexique 1986,Allemagne 1997
10,Tyrrell,Royaume-Uni,23,1970–1998,Espagne 1971,États-Unis Est 1983
11,BRM,Royaume-Uni,17,"1951, 1956–1977",Pays-Bas 1959,Monaco 1972
12,Cooper,Royaume-Uni,16,"1950, 1952–1969",Argentine 1958,Afrique du Sud 1967
13,Alfa Romeo,Italie,10,"1950–1951, 1979–1985, 2019–",Grande-Bretagne 1950,Espagne 1951
14,Maserati,Italie,9,1950–1960,Italie 1953,Allemagne 1957
14,Vanwall,Royaume-Uni,9,1954–1960,Grande-Bretagne 1957,Maroc 1958
14,Matra,France,9,1967–1972,Pays-Bas 1968,Italie 1969
14,Ligier,France,9,1976–1996,Suède 1977,Monaco 1996
18,Brawn,Royaume-Uni,8,2009,Australie 2009,Italie 2009
19,Kurtis Kraft,États-Unis,5,1950–1960,Indianapolis 1950,Indianapolis 1955
20,Jordan,Irlande,4,1991–2005,Belgique 1998,Brésil 2003
21,Watson,États-Unis,3,"1950–1953, 1956–1960",Indianapolis 1956,Indianapolis 1960
21,March,Royaume-Uni,3,"1970–1977, 1981–1982, 1987–1989, 1992",Espagne 1970,Italie 1976
21,Wolf,Canada,3,1977–1979,Argentine 1977,Canada 1977
21,Honda,Japon,3,"1964–1968, 2006–2008",Mexique 1965,Hongrie 2006
25,Epperly,États-Unis,2,"1955, 1957–1960",Indianapolis 1957,Indianapolis 1958
25,AlphaTauri/Toro Rosso,Italie,2,2006–,Italie 2008,Italie 2020
25,Lotus F1,Royaume-Uni,2,2012–2015,Abou Dabi 2012,Australie 2013
28,Kuzma,États-Unis,1,1951–1960,Indianapolis 1955,Indianapolis 1955
28,Porsche,Allemagne,1,1957–1964,France 1962,France 1962
28,Eagle,États-Unis,1,1966–1969,Belgique 1967,Belgique 1967
28,Hesketh,Royaume-Uni,1,1974–1978,Pays-Bas 1975,Pays-Bas 1975
28,Penske,États-Unis,1,1974–1977,Autriche 1976,Autriche 1976
28,Shadow[note 2],Royaume-Uni,1,1973–1980,Autriche 1977,Autriche 1977
28,Stewart,Royaume-Uni,1,1997–1999,Europe 1999,Europe 1999
28,BMW Sauber[note 3][note 2],Allemagne,1,1993–2018,Canada 2008,Canada 2008
28,Racing Point,Royaume-Uni,1,2019–2020,Sakhir 2020,Sakhir 2020
