#,Pilote,Pays,Période,Nombre de courses,Nombre de pole positions,%
1,Juan Manuel Fangio,Argentine,1950-1958,51,29,"56,86 %"
2,Jim Clark,Royaume-Uni,1960-1968,72,33,"45,83 %"
3,Alberto Ascari,Italie,1950-1955,32,14,"43,75 %"
4,Ayrton Senna,Brésil,1984-1994,161,65,"40,37 %"
5,Lewis Hamilton,Royaume-Uni,2007-,370,104,"28,11 %"
6,Stirling Moss,Royaume-Uni,1951-1961,66,16,"24,24 %"
7,Michael Schumacher,Allemagne,1991-2006 et 2010-2012,307,68,"22,15 %"
8,Max Verstappen,Pays-Bas,2015-,223,44,"19,73 %"
9,Sebastian Vettel,Allemagne,2007-2022,297,57,"19,19 %"
10,Damon Hill,Royaume-Uni,1992-1999,119,20,"17,39 %"
11,Jackie Stewart,Royaume-Uni,1965-1973,99,17,"17,17 %"
12,Nigel Mansell,Royaume-Uni,1980-1995,187,32,"17,11 %"
13,Jochen Rindt,Autriche,1964-1970,60,10,"16,67 %"
14,Charles Leclerc,Monaco,2018-,161,27,"16,77 %"
15,Alain Prost,France,1980-1993,199,33,"16,58 %"
16,Mika Häkkinen,Finlande,1991-2001,161,26,"16,15 %"
17,James Hunt,Royaume-Uni,1973-1979,92,14,"15,22 %"
18,Giuseppe Farina,Italie,1950-1955,33,5,"15,15 %"
19,Nico Rosberg,Allemagne,2006-2016,206,30,"14,56 %"
20,Mario Andretti,États-Unis,1968-1982,128,18,"14,06 %"
21,Niki Lauda,Autriche,1971-1985,171,24,"14,04 %"
22,Juan Pablo Montoya,Colombie,2001-2006,95,13,"13,83 %"
23,Phil Hill,États-Unis,1958-1964,48,6,"12,77 %"
24,Jean-Pierre Jabouille,France,1975-1981,49,6,"12,24 %"
25,René Arnoux,France,1978-1989,149,18,"12,08 %"
26,Nelson Piquet,Brésil,1978-1991,204,24,"11,76 %"
27,Jacky Ickx,Belgique,1966-1979,116,13,"11,40 %"
28,Ronnie Peterson,Suède,1970-1978,123,14,"11,38 %"
29,Jack Brabham,Australie,1955-1970,126,13,"10,57 %"
