Pos.,Nation,Victoires,%[3],Nombre de pilotes
1er,Royaume-Uni,326,"28,37 %",21
2e,Allemagne,179,"15,57 %",7
3e,Brésil,101,"8,79 %",6
4e,France,81,"7,04 %",14
5e,Pays-Bas,71,"6,17 %",1
6e,Finlande,57,"4,96 %",5
7e,Australie,52,"4,52 %",5
8e,Italie,43,"3,74 %",15
9e,Autriche,41,"3,56 %",3
10e,Argentine,38,"3,30 %",3
11e,Espagne,36,"3,13 %",2
12e,États-Unis,33,"2,87 %",15
13e,Canada,17,"1,48 %",2
14e,Nouvelle-Zélande,12,"1,04 %",2
15e,Suède,12,"1,04 %",3
16e,Belgique,11,"0,95 %",2
17e,Afrique du Sud,10,"0,87 %",1
18e,Mexique,8,"0,69 %",2
19e,Monaco,8,"0,69 %",1
20e,Colombie,7,"0,61 %",1
21e,Suisse,7,"0,61 %",2
22e,Pologne,1,"0,08 %",1
23e,Venezuela,1,"0,08 %",1
,23 nations,1 149[4],,113
