#,Pilote,Pays,Période,Nbre Courses,Nbre Victoires,%
1,Juan Manuel Fangio,Argentine,1950-1958,51,24,"47,06 %"
2,Alberto Ascari,Italie,1950-1955,32,13,"40,63 %"
3,Jim Clark,Royaume-Uni,1960-1968,72,25,"34,72 %"
4,Max Verstappen,Pays-Bas,2015-,233,71,"30,47 %"
5,Michael Schumacher,Allemagne,1991-2006 ; 2010-2012,307,91,"29,64 %"
6,Lewis Hamilton,Royaume-Uni,2007-,380,105,"27,63 %"
7,Jackie Stewart,Royaume-Uni,1965-1973,99,27,"27,27 %"
8,Alain Prost,France,1980-1993,199,51,"25,63 %"
9,Ayrton Senna,Brésil,1984-1994,161,41,"25,47 %"
10,Stirling Moss,Royaume-Uni,1951-1961,66,16,"24,24 %"
11,Damon Hill,Royaume-Uni,1992-1999,115,22,"19,20 %"
12,Sebastian Vettel,Allemagne,2007-2022,299,53,"17,73 %"
13,Nigel Mansell,Royaume-Uni,1980-1995,187,31,"16,58 %"
14,Tony Brooks,Royaume-Uni,1956-1961,38,6,"15,79 %"
15,Giuseppe Farina,Italie,1950-1955,33,5,"15,15 %"
16,Niki Lauda,Autriche,1971-1985,171,25,"14,62 %"
17,Oscar Piastri,Australie,2023 -,70,9,"12,85 %"
18,Mika Häkkinen,Finlande,1991-2001,161,20,"12,42 %"
19,Nico Rosberg,Allemagne,2006-2016,202,23,"11,39 %"
20,Jack Brabham,Australie,1955-1970,123,14,"11,38 %"
21,Nelson Piquet,Brésil,1978-1991,204,23,"11,27 %"
22,James Hunt,Royaume-Uni,1973-1979,92,10,"10,87 %"
23,Alan Jones,Australie,1975-1986,116,12,"10,34 %"
24,Jochen Rindt,Australie,1975-1986,60,6,"10,00 %"
