0,1
Formula One logo since 2018,Formula One logo since 2018
Category,Open-wheel single-seater Formula auto racing
Country,International
Inaugural season,1950
Drivers,22
Teams,11
Engine manufacturers,AudiFerrariHondaMercedesRed Bull Ford
Tyre suppliers,Pirelli
Drivers' champion,Lando Norris (2025) (McLaren-Mercedes)
Constructors' champion,McLaren-Mercedes (2025)
Most titles,Drivers'  Michael Schumacher  Lewis Hamilton (7 titles each) Constructors'  Ferrari (16)
Official website,formula1.com
Current season,Current season
