Rank,Manufacturer,Wins,Season(s),Races,Engine(s),Winning Constructor(s)
1,Ford,22,"1972, 1973, 1974",1972 Austrian Grand Prix – 1974 South African Grand Prix,DFV,"Lotus, Tyrrell, McLaren, Brabham"
2,Ford,20,"1968, 1969, 1970",1968 British Grand Prix – 1970 Monaco Grand Prix,DFV,"Lotus, Matra, McLaren, Brabham, March"
3,Renault,16,"1995, 1996",1995 French Grand Prix – 1996 San Marino Grand Prix,"RS7, RS8","Benetton, Williams"
4,Honda RBPT,14,2023,2023 Bahrain Grand Prix – 2023 Italian Grand Prix,RBPTH001,Red Bull
5,Honda,11,1988,1988 Brazilian Grand Prix – 1988 Belgian Grand Prix,RA168E,McLaren
6,Ferrari,10,2002,2002 Canadian Grand Prix – 2002 Japanese Grand Prix,Tipo 051,Ferrari
6,Mercedes,10,"2015, 2016",2015 Japanese Grand Prix – 2016 Russian Grand Prix,"PU106B Hybrid, PU106C Hybrid",Mercedes
6,Mercedes,10,2016,2016 Monaco Grand Prix – 2016 Singapore Grand Prix,PU106C Hybrid,Mercedes
6,Mercedes,10,"2018, 2019",2018 Brazilian Grand Prix – 2019 French Grand Prix,"M09 EQ Power+, M10 EQ Power+",Mercedes
10,Ford,9,"1980, 1981",1980 Dutch Grand Prix – 1981 Belgian Grand Prix,DFV,"Brabham, Williams"
10,Renault,9,2013,2013 Belgian Grand Prix – 2013 Brazilian Grand Prix,RS27-2013,Red Bull
10,Red Bull Powertrains,9,2022,2022 French Grand Prix – 2022 Mexico City Grand Prix,RBPTH001,Red Bull
10,Honda RBPT,9,"2023, 2024",2023 Japanese Grand Prix – 2024 Saudi Arabian Grand Prix,"RBPTH001, RBPTH002",Red Bull
Source:[113],Source:[113],Source:[113],Source:[113],Source:[113],Source:[113],Source:[113]
