Years,Operating principle[a],Maximum displacement,Maximum displacement,Configuration,RPM limit,Fuel flow limit (Qmax),Fuel composition,Fuel composition
Years,Operating principle[a],Naturally aspirated,Forced induction,Configuration,RPM limit,Fuel flow limit (Qmax),Alcohol,Petrol
1947–1953[b],Unspecified,4.5 L,1.5 L,Unrestricted,Unrestricted[100],Unrestricted,Unrestricted[c],Unrestricted[c]
1954–1957,Unspecified,2.5 L,0.75 L,Unrestricted,Unrestricted[100],Unrestricted,Unrestricted[c],Unrestricted[c]
1958–1960,Unspecified,2.5 L,0.75 L,Unrestricted,Unrestricted[100],Unrestricted,Prohibited,Avgas[d][101]
1961–1965,Unspecified,1.5 L (1.3 L min.),Prohibited,Unrestricted,Unrestricted[100],Unrestricted,Prohibited,Pump Gas[e]
1966–1971,"Piston, Rotary  & Turbine[f]",3.0 L,1.5 L,Unrestricted,Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1972–1980,"Piston, Rotary  & Turbine[f]",3.0 L,1.5 L,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1981–1985,4-stroke Piston,3.0 L,1.5 L,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1986,4-stroke Piston,Prohibited,1.5 L,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1987,4-stroke Piston,3.5 L,"1.5 L, 4 bar",Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1988,4-stroke Piston,3.5 L,"1.5 L, 2.5 bar",Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1989–1991,4-stroke Piston,3.5 L,Prohibited,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Commercial[g]
1992–1994,4-stroke Piston,3.5 L,Prohibited,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Unleaded
1995–1999,4-stroke Piston,3.0 L,Prohibited,Up to 12 cylinders[105],Unrestricted[100],Unrestricted,Prohibited,Unleaded
2000–2005,4-stroke Piston,3.0 L,Prohibited,V10,Unrestricted[100],Unrestricted,Prohibited,Unleaded
2006[h][106],4-stroke Piston,2.4 L,Prohibited,90° V8,Unrestricted[100],Unrestricted,Prohibited,Unleaded
2007[h],4-stroke Piston,2.4 L,Prohibited,90° V8,"19,000 rpm",Unrestricted,Prohibited,Unleaded
2008,4-stroke Piston,2.4 L,Prohibited,90° V8,"19,000 rpm",Unrestricted,5.75%[i],Unleaded
2009–2013[j],4-stroke Piston,2.4 L,Prohibited,90° V8 + KERS,"18,000 rpm",Unrestricted,5.75%[i],Unleaded
2014–2021[k],4-stroke Piston,1.6 L (no minimum)[l][107][108],1.6 L (no minimum)[l][107][108],90° V6 + MGU-K  + MGU-H,"15,000 rpm[m]",(0.009 × rpm) + 5.5 up to 100 kg/h[n],5.75%[i],Unleaded
2022–2025[k][109],4-stroke Piston,"1.6 L (1,590cc minimum)[o]","1.6 L (1,590cc minimum)[o]",90° V6 + MGU-K  + MGU-H,Unrestricted[m],(0.009 × rpm) + 5.5 up to 100 kg/h[n],≥10%[p],Unleaded
2026 onwards,4-stroke Piston,"1.6 L (1,590cc minimum)[o]","1.6 L (1,590cc minimum)[o]",90° V6 + MGU-K,Unrestricted[m],"(0.27 × rpm) + 165 up to 3,000 MJ/h[q]",TBA[r],TBA[r]
