Rank,Engine,Wins,First Win,Latest Win,Unnamed: 5
1,Ferrari,239,1951 British Grand Prix,2024 Mexico City Grand Prix,
2,Mercedes[a],238,1954 French Grand Prix,2025 São Paulo Grand Prix,
3,Ford[b],176,1967 Dutch Grand Prix,2003 Brazilian Grand Prix,
4,Renault,169,1979 French Grand Prix,2021 Hungarian Grand Prix,
5,Honda,89,1965 Mexican Grand Prix,2021 Abu Dhabi Grand Prix,
6,Coventry Climax,40,1958 Argentine Grand Prix,1965 German Grand Prix,
7,Honda RBPT[c],37,2023 Bahrain Grand Prix,2025 Abu Dhabi Grand Prix,
8,TAG[d],25,1984 Brazilian Grand Prix,1987 Portuguese Grand Prix,
9,BMW,20,1982 Canadian Grand Prix,2008 Canadian Grand Prix,
10,BRM,18,1959 Dutch Grand Prix,1972 Monaco Grand Prix,
Source:[112],Source:[112],Source:[112],Source:[112],Source:[112],Source:[112]
