Season,Manufacturer 1,Wins,Manufacturer 2,Wins.1,Manufacturer 3,Wins.2,Manufacturer 4,Wins.3,Manufacturer 5,Wins.4,Manufacturer 6,Wins.5
1950,Pirelli,6,Firestone,1.0,Dunlop,0.0,Englebert,0.0,,,,
1951,Pirelli,7,Firestone,1.0,Dunlop,0.0,Englebert,0.0,,,,
1952,Pirelli,7,Firestone,1.0,Dunlop,0.0,Englebert,0.0,,,,
1953,Pirelli,8,Firestone,1.0,Dunlop,0.0,Englebert,0.0,,,,
1954,Pirelli,4,Continental,4.0,Firestone,1.0,Englebert,0.0,Dunlop,0.0,Avon,0.0
1955,Continental,5,Englebert,1.0,Firestone,1.0,Pirelli,0.0,Dunlop,0.0,,
1956,Englebert,5,Pirelli,2.0,Firestone,1.0,Dunlop,0.0,Avon,0.0,,
1957,Pirelli,7,Firestone,1.0,Englebert,0.0,Dunlop,0.0,Avon,0.0,,
1958,Dunlop,7,Englebert,2.0,Continental,1.0,Firestone,1.0,Pirelli,0.0,Avon,0.0
1959,Dunlop,8,Firestone,1.0,Avon,0.0,,,,,,
1960,Dunlop,9,Firestone,1.0,,,,,,,,
1961,Dunlop,8,,,,,,,,,,
1962,Dunlop,9,,,,,,,,,,
1963,Dunlop,10,,,,,,,,,,
1964,Dunlop,10,Goodyear,0.0,,,,,,,,
1965,Dunlop,9,Goodyear,1.0,,,,,,,,
1966,Goodyear,4,Dunlop,3.0,Firestone,2.0,,,,,,
1967,Firestone,6,Goodyear,5.0,Dunlop,0.0,,,,,,
1968,Firestone,6,Goodyear,3.0,Dunlop,3.0,,,,,,
1969,Dunlop,6,Goodyear,3.0,Firestone,2.0,,,,,,
1970,Firestone,10,Dunlop,2.0,Goodyear,1.0,,,,,,
1971,Goodyear,7,Firestone,4.0,,,,,,,,
1972,Firestone,7,Goodyear,5.0,,,,,,,,
1973,Goodyear,15,Firestone,0.0,,,,,,,,
1974,Goodyear,15,Firestone,0.0,,,,,,,,
1975,Goodyear,14,Firestone,0.0,,,,,,,,
1976,Goodyear,16,Dunlop,0.0,Bridgestone,0.0,,,,,,
1977,Goodyear,17,Dunlop,0.0,Bridgestone,0.0,Michelin,0.0,,,,
1978,Goodyear,11,Michelin,5.0,,,,,,,,
1979,Goodyear,8,Michelin,7.0,,,,,,,,
1980,Goodyear,11,Michelin,3.0,,,,,,,,
1981,Michelin,13,Goodyear,2.0,Avon,0.0,Pirelli,0.0,,,,
1982,Goodyear,8,Michelin,8.0,Pirelli,0.0,Avon,0.0,,,,
1983,Michelin,9,Goodyear,6.0,Pirelli,0.0,,,,,,
1984,Michelin,14,Goodyear,2.0,Pirelli,0.0,,,,,,
1985,Goodyear,15,Pirelli,1.0,,,,,,,,
1986,Goodyear,15,Pirelli,1.0,,,,,,,,
1987,Goodyear,16,,,,,,,,,,
1988,Goodyear,16,,,,,,,,,,
1989,Goodyear,16,Pirelli,0.0,,,,,,,,
1990,Goodyear,16,Pirelli,0.0,,,,,,,,
1991,Goodyear,15,Pirelli,1.0,,,,,,,,
1992,Goodyear,16,,,,,,,,,,
1993,Goodyear,16,,,,,,,,,,
1994,Goodyear,16,,,,,,,,,,
1995,Goodyear,17,,,,,,,,,,
1996,Goodyear,16,,,,,,,,,,
1997,Goodyear,17,Bridgestone,0.0,,,,,,,,
1998,Bridgestone,9,Goodyear,7.0,,,,,,,,
1999,Bridgestone,16,,,,,,,,,,
2000,Bridgestone,17,,,,,,,,,,
2001,Bridgestone,13,Michelin,4.0,,,,,,,,
2002,Bridgestone,15,Michelin,2.0,,,,,,,,
2003,Bridgestone,9,Michelin,7.0,,,,,,,,
2004,Bridgestone,15,Michelin,3.0,,,,,,,,
2005,Michelin,18,Bridgestone,1.0,,,,,,,,
2006,Michelin,9,Bridgestone,9.0,,,,,,,,
2007,Bridgestone,17,,,,,,,,,,
2008,Bridgestone,18,,,,,,,,,,
2009,Bridgestone,17,,,,,,,,,,
2010,Bridgestone,19,,,,,,,,,,
2011,Pirelli,19,,,,,,,,,,
2012,Pirelli,20,,,,,,,,,,
2013,Pirelli,19,,,,,,,,,,
2014,Pirelli,19,,,,,,,,,,
2015,Pirelli,19,,,,,,,,,,
2016,Pirelli,21,,,,,,,,,,
2017,Pirelli,20,,,,,,,,,,
2018,Pirelli,21,,,,,,,,,,
2019,Pirelli,21,,,,,,,,,,
2020,Pirelli,17,,,,,,,,,,
2021,Pirelli,22,,,,,,,,,,
2022,Pirelli,22,,,,,,,,,,
2023,Pirelli,22,,,,,,,,,,
2024,Pirelli,24,,,,,,,,,,
2025,Pirelli,24,,,,,,,,,,
