Pos,Manufacturer,Seasons[40],Starts,Victories,%,Sole supplier,First victory,Last victory,World Championships,World Championships,Tyre
Pos,Manufacturer,Seasons[40],Starts,Victories,%,Sole supplier,First victory,Last victory,Drivers,Constructors,Tyre
1,Goodyear,1964–1998,494,368,74.49%,113[41],1965 Mexican Grand Prix,1998 Italian Grand Prix,24,26,G
2,Pirelli,1950–1958 1981–1986 1989–1991 2011–present,508[42],354,69.69%,304[43],1950 British Grand Prix,2025 Abu Dhabi Grand Prix,21,15,P
3,Bridgestone,1976–1977 1997–2010[44],244,175,71.72%,116[45],1998 Australian Grand Prix,2010 Abu Dhabi Grand Prix,11,11,B
4,Michelin,1977–1984 2001–2006,215,102,47.44%,0,1978 Brazilian Grand Prix,2006 Japanese Grand Prix,6,4,M
5,Dunlop,1950–1970 1976–1977,175,83,47.42%,37[46],1958 Monaco Grand Prix,1970 Belgian Grand Prix,8,9,D
6,Firestone,1950–1960 1966–1975,121,48,40.49%,11[47],1950 Indianapolis 500,1972 Italian Grand Prix,4,3,F
7,Continental,1954–1955 1958,13,10,76.92%,0,1954 French Grand Prix,1958 Argentine Grand Prix,2,0,C
8,Englebert,1950–1958,61,8,13.11%,0,1955 Monaco Grand Prix,1958 British Grand Prix,2,0,E
9,Avon,1954–1958 1981–1982,29,0,0.00%,0,,,0,0,A
