Grand Prix,Première édition,Lieu,Circuit,Capacité théorique
Grand Prix de Bahreïn,2004,Sakhir,,50 000
Grand Prix d'Arabie saoudite,2021,Djeddah,,?
Grand Prix d'Australie,1985,Melbourne,,130 000
Grand Prix d'Émilie-Romagne,2020,Imola,,78 000
Grand Prix de Miami,2022,Miami,,80 000
Grand Prix d'Espagne,1951,Barcelone,,140 700
Grand Prix de Monaco,1950,Monaco,,37 000
Grand Prix d'Europe,2017,Bakou,,18 500
Grand Prix du Canada,1967,Montréal,,100 000
Grand Prix de Grande-Bretagne,1950,Silverstone,,150 000
Grand Prix d'Autriche,1964,Spielberg,,40 000
Grand Prix de France,1950,Le Castellet,,90 000
Grand Prix de Hongrie,1986,Budapest,,70 000
Grand Prix de Belgique,1950,Spa-Francorchamps,,70 000
Grand Prix des Pays-Bas,1952,Zandvoort,,105 000
Grand Prix d'Italie,1950,Monza,,113 860
Grand Prix de Singapour,2008,Marina Bay,,90 000
Grand Prix du Japon,1976,Suzuka,,155 000
Grand Prix des États-Unis,1959,Austin,,120 000
Grand Prix du Mexique,1963,Mexico,,110 000
Grand Prix du Brésil,1973,São Paulo,,60 000
Grand Prix d'Abou Dabi,2009,Yas Marina,,60 000
