Grand Prix,Période
500 miles d'Indianapolis,1950-1960
Grand Prix d'Afrique du Sud,1962-1963/1965/1967-1980/1982-1985/1992-1993
Grand Prix d'Argentine,1953-1958/1960/1972-1975/1977-1981/1995-1998
Grand Prix de Corée du Sud,2010-2013
Grand Prix de Détroit,1984-1988
Grand Prix de Dallas,1984
Grand Prix des États-Unis Est,1976-1980/1982-1983
Grand Prix des États-Unis Ouest,1976-1983
Grand Prix d'Europe,1983-1985/1993-1997/1999-2012/2016
Grand Prix d'Inde,2011-2013
Grand Prix du Luxembourg,1997-1998
Grand Prix du Maroc,1958
Grand Prix de Malaisie,1999-2017
Grand Prix du Pacifique,1994-1995
Grand Prix de Pescara,1957
Grand Prix de Saint-Marin,1981-2006
Grand Prix de Suède,1973-1978
Grand Prix de Suisse,1950-1954/1982
Grand Prix de Russie,2014-2021
