Rang,1950-1959,1960,1961-1990,1991-2002,2003-2009,2010-2018,2019-2024,2025-,Qualifications sprint 2021,Course sprint 2022
1er,8 points,8 points,9 points,10 points,10 points,25 points,25 points,25 points,3 points,8 points
2e,6 points,6 points,6 points,6 points,8 points,18 points,18 points,18 points,2 points,7 points
3e,4 points,4 points,4 points,4 points,6 points,15 points,15 points,15 points,1 point,6 points
4e,3 points,3 points,3 points,3 points,5 points,12 points,12 points,12 points,,5 points
5e,2 points,2 points,2 points,2 points,4 points,10 points,10 points,10 points,,4 points
6e,-,1 point,1 point,1 point,3 points,8 points,8 points,8 points,,3 points
7e,-,-,-,-,2 points,6 points,6 points,6 points,,2 points
8e,-,-,-,-,1 point,4 points,4 points,4 points,,1 point
9e,-,-,-,-,-,2 points,2 points,2 points,,
10e,-,-,-,-,-,1 point,1 point,1 point,,
Meilleur tour,1 point,-,-,-,-,-,1 point,-,,
