Rang,Pilote,Nombre de titres,Années
1,Michael Schumacher,7,"1994, 1995, 2000, 2001, 2002, 2003 et 2004"
1,Lewis Hamilton,7,"2008, 2014, 2015, 2017, 2018, 2019 et 2020"
2,Juan Manuel Fangio,5,"1951, 1954, 1955, 1956 et 1957"
4,Alain Prost,4,"1985, 1986, 1989 et 1993"
4,Sebastian Vettel,4,"2010, 2011, 2012 et 2013"
4,Max Verstappen,4,"2021, 2022, 2023 et 2024"
7,Jack Brabham,3,"1959, 1960 et 1966"
7,Jackie Stewart,3,"1969, 1971 et 1973"
7,Niki Lauda,3,"1975, 1977 et 1984"
7,Nelson Piquet,3,"1981, 1983 et 1987"
7,Ayrton Senna,3,"1988, 1990 et 1991"
12,Alberto Ascari,2,1952 et 1953
12,Graham Hill,2,1962 et 1968
12,Jim Clark,2,1963 et 1965
12,Emerson Fittipaldi,2,1972 et 1974
12,Mika Häkkinen,2,1998 et 1999
12,Fernando Alonso,2,2005 et 2006
18,Giuseppe Farina,1,1950
18,Mike Hawthorn,1,1958
18,Phil Hill,1,1961
18,John Surtees,1,1964
18,Denny Hulme,1,1967
18,Jochen Rindt,1,1970
18,James Hunt,1,1976
18,Mario Andretti,1,1978
18,Jody Scheckter,1,1979
18,Alan Jones,1,1980
18,Keke Rosberg,1,1982
18,Nigel Mansell,1,1992
18,Damon Hill,1,1996
18,Jacques Villeneuve,1,1997
18,Kimi Räikkönen,1,2007
18,Jenson Button,1,2009
18,Nico Rosberg,1,2016
18,Lando Norris,1,2025
