Rang,Motoristes,Titres associés,Championnat des pilotes,Championnat des constructeurs
1,Ferrari,31,"15 (1952, 1953, 1956, 1958, 1961, 1964, 1975, 1977, 1979, 2000, 2001, 2002, 2003, 2004, 2007)","16 (1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008)"
2,Mercedes,24,"13 (1954, 1955, 1998, 1999, 2008, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020)","11 (1998, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2024)"
3,Ford-Cosworth,23,"13 (1968, 1969, 1970, 1971, 1972, 1973, 1974, 1976, 1978, 1980, 1981, 1982, 1994)","10 (1968, 1969, 1970, 1971, 1972, 1973, 1974, 1978, 1980, 1981)"
3,Renault,23,"11 (1992, 1993, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013)","12 (1992, 1993, 1994, 1995, 1996, 1997, 2005, 2006, 2010, 2011, 2012, 2013)"
5,Honda,12,"6 (1987, 1988, 1989, 1990, 1991, 2021)","6 (1986, 1987, 1988, 1989, 1990, 1991)"
6,Climax,8,"4 (1959, 1960, 1963, 1965)","4 (1959, 1960, 1963, 1965)"
7,TAG,5,"3 (1984, 1985, 1986)","2 (1984, 1985)"
7,Red Bull Powertrains,5,"3 (2022, 2023, 2024)","2 (2022, 2023)"
9,Repco,4,"2 (1966, 1967)","2 (1966, 1967)"
10,Alfa Romeo,2,"2 (1950, 1951)",0
10,Maserati,2,"2 (1954, 1957)",0
10,BRM,2,1 (1962),1 (1962)
13,Vanwall,1,0,1 (1958)
13,BMW,1,1 (1983),0
