Année,Écurie,Pilotes,Points,Nombre de GP
1958,Vanwall,"Stirling Moss, Tony Brooks, Stuart Lewis-Evans",48,11
1959,Cooper-Climax,"Jack Brabham, Stirling Moss, Maurice Trintignant",40,9
1960,Cooper-Climax,"Jack Brabham, Bruce McLaren, Tony Brooks",48,10
1961,Ferrari,"Phil Hill, Wolfgang von Trips, Richie Ginther, Willy Mairesse, Giancarlo Baghetti, Olivier Gendebien, Ricardo Rodríguez",40,8
1962,BRM,"Graham Hill, Richie Ginther",42,9
1963,Lotus-Climax,"Jim Clark, Trevor Taylor",54,10
1964,Ferrari,"John Surtees, Lorenzo Bandini",45,10
1965,Lotus-Climax,"Jim Clark, Mike Spence",54,10
1966,Brabham-Repco,"Jack Brabham, Denny Hulme",42,9
1967,Brabham-Repco,"Jack Brabham, Denny Hulme",67,11
1968,Lotus-Ford,"Graham Hill, Jim Clark, Jackie Oliver",62,12
1969,Matra-Ford,"Jackie Stewart, Jean-Pierre Beltoise, Johnny Servoz-Gavin",66,11
1970,Lotus-Ford,"Jochen Rindt, Emerson Fittipaldi, Reine Wisell",59,13
1971,Tyrrell-Ford,"Jackie Stewart, François Cevert",73,11
1972,Lotus-Ford,"Emerson Fittipaldi, Dave Walker, Reine Wisell",61,12
1973,Lotus-Ford,"Emerson Fittipaldi, Ronnie Peterson",92,15
1974,McLaren-Ford,"Emerson Fittipaldi, Denny Hulme",73,15
1975,Ferrari,"Niki Lauda, Clay Regazzoni",725,14
1976,Ferrari,"Niki Lauda, Clay Regazzoni, Carlos Reutemann",83,16
1977,Ferrari,"Niki Lauda, Carlos Reutemann, Gilles Villeneuve",95,17
1978,Lotus-Ford,"Mario Andretti, Ronnie Peterson, Jean-Pierre Jarier",86,16
1979,Ferrari,"Jody Scheckter, Gilles Villeneuve",113,15
1980,Williams-Ford,"Alan Jones, Carlos Reutemann",120,14
1981,Williams-Ford,"Alan Jones, Carlos Reutemann",95,15
1982,Ferrari,"Didier Pironi, Gilles Villeneuve, Patrick Tambay, Mario Andretti",74,16
1983,Ferrari,"René Arnoux, Patrick Tambay",89,15
1984,McLaren-TAG,"Niki Lauda, Alain Prost",1435,15
1985,McLaren-TAG,"Alain Prost, Niki Lauda, John Watson",90,16
1986,Williams-Honda,"Nelson Piquet, Nigel Mansell",141,16
1987,Williams-Honda,"Nelson Piquet, Nigel Mansell, Riccardo Patrese",137,16
1988,McLaren-Honda,"Ayrton Senna, Alain Prost",199,16
1989,McLaren-Honda,"Alain Prost, Ayrton Senna",141,16
1990,McLaren-Honda,"Ayrton Senna, Gerhard Berger",141,16
1991,McLaren-Honda,"Ayrton Senna, Gerhard Berger",139,16
1992,Williams‑Renault,"Nigel Mansell, Riccardo Patrese",164,16
1993,Williams‑Renault,"Alain Prost, Damon Hill",168,16
1994,Williams‑Renault,"Ayrton Senna, Damon Hill, Nigel Mansell, David Coulthard",118,16
1995,Benetton‑Renault,"Michael Schumacher, Johnny Herbert",137,17
1996,Williams‑Renault,"Damon Hill, Jacques Villeneuve",175,16
1997,Williams‑Renault,"Jacques Villeneuve, Heinz-Harald Frentzen",123,17
1998,McLaren‑Mercedes,"Mika Häkkinen, David Coulthard",156,16
1999,Ferrari,"Michael Schumacher, Eddie Irvine, Mika Salo",128,16
2000,Ferrari,"Michael Schumacher, Rubens Barrichello",170,17
2001,Ferrari,"Michael Schumacher, Rubens Barrichello",179,17
2002,Ferrari,"Michael Schumacher, Rubens Barrichello",221,17
2003,Ferrari,"Michael Schumacher, Rubens Barrichello",158,16
2004,Ferrari,"Michael Schumacher, Rubens Barrichello",262,18
2005,Renault,"Fernando Alonso, Giancarlo Fisichella",191,19
2006,Renault,"Fernando Alonso, Giancarlo Fisichella",206,18
2007,Ferrari,"Kimi Räikkönen, Felipe Massa",204,17
2008,Ferrari,"Kimi Räikkönen, Felipe Massa",172,18
2009,Brawn-Mercedes,"Jenson Button, Rubens Barrichello",172,17
2010,Red Bull-Renault,"Sebastian Vettel, Mark Webber",498,19
2011,Red Bull-Renault,"Sebastian Vettel, Mark Webber",558,19
2012,Red Bull-Renault,"Sebastian Vettel, Mark Webber",460,20
2013,Red Bull-Renault,"Sebastian Vettel, Mark Webber",596,19
2014,Mercedes,"Lewis Hamilton, Nico Rosberg",701,19
2015,Mercedes,"Lewis Hamilton, Nico Rosberg",703,19
2016,Mercedes,"Lewis Hamilton, Nico Rosberg",765,21
2017,Mercedes,"Lewis Hamilton, Valtteri Bottas",668,20
2018,Mercedes,"Lewis Hamilton, Valtteri Bottas",655,21
2019,Mercedes,"Lewis Hamilton, Valtteri Bottas",739,21
2020,Mercedes,"Lewis Hamilton, Valtteri Bottas, George Russell",573,17
2021,Mercedes,"Lewis Hamilton, Valtteri Bottas",6135,22
2022,Red Bull,"Max Verstappen, Sergio Pérez",719,22
2023,Red Bull,"Max Verstappen, Sergio Pérez",860,22
2024,McLaren- Mercedes,"Lando Norris, Oscar Piastri",666,24
2025,McLaren- Mercedes,"Lando Norris, Oscar Piastri",756,21
