v · mAutomobile,v · mAutomobile.1
Constructeurs Construction Classification Segments Plates-formes Types de carrosseries,Constructeurs Construction Classification Segments Plates-formes Types de carrosseries
Conduite,Automobiliste Aide à la conduite Auto-école Code de la route Conduite de nuit Conduite en hiver Permis de conduire en France Sens de circulation
Équipement,Voir Équipements Automobile
Aérodynamique,Aileron Calandre Carrosserie Châssis Coefficient de traînée Déportance Déflecteur Diffuseur Effet de sol
Freinage,Frein à disque Frein à tambour Frein à main Frein moteur Maître-cylindre Plaquette de frein Répartiteur Répartiteur électronique (EBD)
Motorisation,Automobile hybride électrique Moteur à allumage commandé Moteur à combustion et explosion Moteur Diesel Moteur à deux temps Moteur à quatre temps Moteur à pistons Véhicule à hydrogène Véhicule polycarburant Voiture électrique Automobile à vapeur Moteur Wankel
Mécanique,Voir Groupe motopropulseur
Sécurité,Accidentalité Accident de la route Traumatologie routière  Prévention et secours 1ers secours Assurance en France Contrôle technique en France Euro NCAP Essai de choc Sécurité active Sécurité passive Sécurité automobile Sécurité routière en France Services de secours Test de la baïonnette
Accidentalité,Accident de la route Traumatologie routière
Prévention et secours,1ers secours Assurance en France Contrôle technique en France Euro NCAP Essai de choc Sécurité active Sécurité passive Sécurité automobile Sécurité routière en France Services de secours Test de la baïonnette
"Fiscalité, primes et péage",Prix des carburants routiers TICPE Bonus-malus Cheval fiscal Prime à la conversion Taxe carbone Taxe sur les automobiles Taxe sur les cartes grises Taxe sur les véhicules de sociétés Vignette française automobile
Impact environnemental,Système d'arrêt-démarrage automatique Autopartage CAFE Covoiturage Critiques des SUV et 4x4 Consommation de carburant Normes Euro Cycles de conduite NEDC WLTP États-Unis Véhicule propre
Fonctionnement,Atelier de réparation Carrosserie (réparation) Carrossier Conception Entretien Station-service Tuning
Associations,40 MA ACEA ADAC AFPA AIPCR CCFA ETRTO FIA FIVA IRU NASCAR OICA
Réglementation,Immatriculation Harmonisation des règlements Convention de Vienne circulation routière signalisation routière
Histoire,Automobile de collection Chronologie Musées automobile Restauration Youngtimer
Compétition,Course sur circuit Circuits en France Dragster Endurance Grand Tourisme Monoplace Formule 1 Formule Indy Car Rallycross Rallye automobile Rallye-raid Rallye de régularité Rallye tout-terrain Stock-car Sport-prototype Voitures de sport Voitures de tourisme
Salons de l'automobile,Salons de l'automobile
