Année,Champion,Pays,Écurie,Châssis,Moteur
1950,Giuseppe Farina,Italie,Alfa Romeo,Alfetta 158,Alfa Romeo 8 en ligne
1951,Juan Manuel Fangio,Argentine,Alfa Romeo,Alfetta 158,Alfa Romeo 8 en ligne
1952,Alberto Ascari,Italie,Ferrari,Ferrari 500,Ferrari V12
1953,Alberto Ascari,Italie,Ferrari,Ferrari 500,Ferrari V12
1954,Juan Manuel Fangio,Argentine,Maserati Mercedes,Maserati 250F  Mercedes-Benz W196,Maserati 6 en ligne Mercedes 8 en ligne
1955,Juan Manuel Fangio,Argentine,Mercedes,Mercedes-Benz W196,Mercedes 8 en ligne
1956,Juan Manuel Fangio,Argentine,Ferrari,Lancia-Ferrari D50,Lancia V8
1957,Juan Manuel Fangio,Argentine,Maserati,Maserati 250F,Maserati 6 en ligne
1958,Mike Hawthorn,Royaume-Uni,Ferrari,Ferrari D246,Ferrari V6
1959,Jack Brabham,Australie,Cooper,Cooper T51,Climax 4 en ligne
1960,Jack Brabham,Australie,Cooper,Cooper T53,Climax 4 en ligne
1961,Phil Hill,États-Unis,Ferrari,Ferrari 156,Ferrari V6
1962,Graham Hill,Royaume-Uni,BRM,BRM P578,BRM V8
1963,Jim Clark,Royaume-Uni,Lotus,Lotus 25,Climax V8
1964,John Surtees,Royaume-Uni,Ferrari,Ferrari 158,Ferrari V8
1965,Jim Clark,Royaume-Uni,Lotus,Lotus 33,Climax V8
1966,Jack Brabham,Australie,Brabham,Brabham BT19 Brabham BT20,Repco V8
1967,Denny Hulme,Nouvelle-Zélande,Brabham,Brabham BT20 Brabham BT24,Repco V8
1968,Graham Hill,Royaume-Uni,Lotus,Lotus 49 Lotus 49B,Ford V8
1969,Jackie Stewart,Royaume-Uni,Matra,Matra MS10 Matra MS80,Ford V8
1970,Jochen Rindt,Autriche,Lotus,Lotus 49C/72,Ford V8
1971,Jackie Stewart,Royaume-Uni,Tyrrell,Tyrrell 001 Tyrrell 003,Ford V8
1972,Emerson Fittipaldi,Brésil,Lotus,Lotus 49C/72,Ford V8
1973,Jackie Stewart,Royaume-Uni,Tyrrell,Tyrrell 005 Tyrrell 006,Ford V8
1974,Emerson Fittipaldi,Brésil,McLaren,McLaren M23,Ford V8
1975,Niki Lauda,Autriche,Ferrari,Ferrari 312B3 Ferrari 312 T,Ferrari 12 à plat
1976,James Hunt,Royaume-Uni,McLaren,McLaren M23B,Ford V8
1977,Niki Lauda,Autriche,Ferrari,Ferrari 312 T2,Ferrari 12 à plat
1978,Mario Andretti,États-Unis,Lotus,Lotus 78 Lotus 79,Ford V8
1979,Jody Scheckter,Afrique du Sud,Ferrari,Ferrari 312 T3 Ferrari 312 T4,Ferrari 12 à plat
1980,Alan Jones,Australie,Williams,Williams FW07B,Ford V8
1981,Nelson Piquet,Brésil,Brabham,Brabham BT49C,Ford V8
1982,Keke Rosberg,Finlande,Williams,Williams FW07C Williams FW08,Ford V8
1983,Nelson Piquet,Brésil,Brabham,Brabham BT52  Brabham BT52B,BMW 4 en ligne turbo
