Unnamed: 0,Constructor,Seasons,Starts,Wins,Percentage
1,Ferrari,1950–2025,1122,248,22.10%
2,McLaren,1966–2025,994,203,20.42%
3,Mercedes,"1954–1955, 2010–2025",341,131,38.42%
4,/ Red Bull Racing[N 2],2005–2025,417,130,31.18%
5,Williams,1978–2025,850,114,13.41%
6,Lotus,1958–1994,489,79,16.16%
7,Brabham,"1962–1987, 1989–1992",394,35,8.88%
7,/ Renault[N 3],"1977–1985, 2002–2011, 2016–2020",400,35,8.75%
9,/ Benetton[N 4],1986–2001,260,27,10.38%
10,Tyrrell,1970–1998,430,23,5.35%
Source:[2],Source:[2],Source:[2],Source:[2],Source:[2],Source:[2]
