Unnamed: 0,Constructor,Season(s),Wins,Races
1,Red Bull Racing,2022–2023,15,2022 Abu Dhabi Grand Prix – 2023 Italian Grand Prix
2,McLaren,1988,11,1988 Brazilian Grand Prix – 1988 Belgian Grand Prix
3,Ferrari,2002,10,2002 Canadian Grand Prix – 2002 Japanese Grand Prix
3,Mercedes,2015–2016,10,2015 Japanese Grand Prix – 2016 Russian Grand Prix
3,Mercedes,2016,10,2016 Monaco Grand Prix – 2016 Singapore Grand Prix
3,Mercedes,2018–2019,10,2018 Brazilian Grand Prix – 2019 French Grand Prix
7,Red Bull Racing,2013,9,2013 Belgian Grand Prix – 2013 Brazilian Grand Prix
7,Red Bull Racing,2022,9,2022 French Grand Prix – 2022 Mexico City Grand Prix
7,Red Bull Racing,2023–2024,9,2023 Japanese Grand Prix – 2024 Saudi Arabian Grand Prix
10,McLaren,1984–1985,8,1984 British Grand Prix – 1985 Brazilian Grand Prix
10,Ferrari,2003–2004,8,2003 Italian Grand Prix – 2004 Spanish Grand Prix
10,Mercedes,2014–2015,8,2014 Italian Grand Prix – 2015 Australian Grand Prix
Source:[4],Source:[4],Source:[4],Source:[4],Source:[4]
