Unnamed: 0,Constructor,Season,Wins,Races
1,Red Bull Racing,2023,14,2023 Bahrain Grand Prix – 2023 Italian Grand Prix
2,McLaren,1988,11,1988 Brazilian Grand Prix – 1988 Belgian Grand Prix
3,Mercedes,2019,8,2019 Australian Grand Prix – 2019 French Grand Prix
4,Mercedes,2014,6,2014 Australian Grand Prix – 2014 Monaco Grand Prix
5,Williams,1992,5,1992 South African Grand Prix – 1992 San Marino Grand Prix
5,Williams,1996,5,1996 Australian Grand Prix – 1996 San Marino Grand Prix
5,Ferrari,2004,5,2004 Australian Grand Prix – 2004 Spanish Grand Prix
8,McLaren,1991,4,1991 United States Grand Prix – 1991 Monaco Grand Prix
8,Benetton,1994,4,1994 Brazilian Grand Prix – 1994 Monaco Grand Prix
8,Renault,2005,4,2005 Australian Grand Prix – 2005 San Marino Grand Prix
8,Mercedes,2016,4,2016 Australian Grand Prix – 2016 Russian Grand Prix
8,Mercedes,2020,4,2020 Austrian Grand Prix – 2020 British Grand Prix
Source:[5],Source:[5],Source:[5],Source:[5],Source:[5]
