Unnamed: 0,Constructor,Wins,Grand Prix,Seasons
1,Ferrari,21,German Grand Prix,"1951, 1952, 1953, 1956, 1959, 1963, 1964, 1972, 1974, 1977, 1982, 1983, 1985, 1994, 1999, 2000, 2002, 2004, 2006, 2010, 2012"
2,Ferrari,20,Italian Grand Prix,"1951, 1952, 1960, 1961, 1964, 1966, 1970, 1975, 1979, 1988, 1996, 1998, 2000, 2002, 2003, 2004, 2006, 2010, 2019, 2024"
3,Ferrari,18,Belgian Grand Prix,"1952, 1953, 1956, 1961, 1966, 1975, 1976, 1979, 1984, 1996, 1997, 2001, 2002, 2007, 2008, 2009, 2018, 2019"
3,Ferrari,18,British Grand Prix,"1951, 1952, 1953, 1954, 1956, 1958, 1961, 1976, 1978, 1990, 1998, 2002, 2003, 2004, 2007, 2011, 2018, 2022"
5,Ferrari,17,French Grand Prix,"1952, 1953, 1956, 1958, 1959, 1961, 1968, 1975, 1990, 1997, 1998, 2001, 2002, 2004, 2006, 2007, 2008"
6,McLaren,16,Monaco Grand Prix,"1984, 1985, 1986, 1988, 1989, 1990, 1991, 1992, 1993, 1998, 2000, 2002, 2005, 2007, 2008, 2025"
7,McLaren,15,British Grand Prix,"1973, 1975, 1977, 1981, 1982, 1984, 1985, 1988, 1989, 1999, 2000, 2001, 2005, 2008, 2025"
7,McLaren,15,Belgian Grand Prix,"1968, 1974, 1982, 1987, 1988, 1989, 1990, 1991, 1999, 2000, 2004, 2005, 2010, 2012, 2025"
9,McLaren,13,Canadian Grand Prix,"1968, 1973, 1974, 1976, 1988, 1990, 1992, 1999, 2005, 2007, 2010, 2011, 2012"
9,McLaren,13,Hungarian Grand Prix,"1988, 1991, 1992, 1999, 2000, 2005, 2007, 2008, 2009, 2011, 2012, 2024, 2025"
Source:[8],Source:[8],Source:[8],Source:[8],Source:[8]
