Unnamed: 0,Constructor,Season(s),1–2s,Races
1,Ferrari,1952,5,1952 Belgian Grand Prix – 1952 Dutch Grand Prix
1,Ferrari,2002,5,2002 Hungarian Grand Prix – 2002 Japanese Grand Prix
1,Mercedes,2014,5,2014 Malaysian Grand Prix – 2014 Monaco Grand Prix
1,Mercedes,2015–2016,5,2015 United States Grand Prix – 2016 Australian Grand Prix
1,Mercedes,2019,5,2019 Australian Grand Prix – 2019 Spanish Grand Prix
6,Mercedes,1955,4,1955 Belgian Grand Prix – 1955 Italian Grand Prix
6,Mercedes,2014,4,2014 Japanese Grand Prix – 2014 Brazilian Grand Prix
6,Mercedes,2016,4,2016 United States Grand Prix – 2016 Abu Dhabi Grand Prix
6,Williams,1980–1981,4,1980 Canadian Grand Prix – 1981 Brazilian Grand Prix
6,McLaren,1988,4,1988 Mexican Grand Prix – 1988 French Grand Prix
6,McLaren,2025,4,2025 Austrian Grand Prix – 2025 Hungarian Grand Prix
Source:[11],Source:[11],Source:[11],Source:[11],Source:[11]
