Unnamed: 0,Constructor,Seasons,Poles,Entries,Percentage
1,Ferrari,1950–2025,254,1124,22.60%
2,McLaren,1966–2025,177,998,17.74%
3,Mercedes,"1954–1955, 2010–2025",143,341,41.94%
4,Williams,1978–2025,128,851,15.04%
5,/ Red Bull Racing[N 2],2005–2025,111,418,26.56%
6,Lotus,1958–1994,107,492,21.75%
7,/ Renault[N 3],"1977–1985, 2002–2011, 2016–2020",51,403,12.66%
8,Brabham,"1962–1987, 1989–1992",39,403,9.68%
9,/ Benetton[N 4],1986–2001,15,260,5.77%
10,Tyrrell,1970–1998,14,433,3.23%
Source:[12],Source:[12],Source:[12],Source:[12],Source:[12],Source:[12]
