Unnamed: 0,Constructor,Seasons,Poles,Wins,Percentage
1,Cooper,1950–1969,11,10,90.91%
2,Mercedes,"1954–1955, 2010–2025",143,108,75.52%
3,/ Alfa Romeo[N 5],"1950–1951, 1979–1985, 2019–2023",12,9,75.00%
4,/ Red Bull Racing[N 2],2005–2025,111,80,72.07%
5,Tyrrell,1970–1998,14,10,71.43%
6,McLaren,1966–2025,177,104,58.76%
7,Williams,1978–2025,128,70,54.69%
8,Ferrari,1950–2025,254,137,53.94%
9,Maserati,1950–1960,10,5,50.00%
10,/ Renault[N 3],"1977–1985, 2002–2011, 2016–2020",51,24,47.06%
Source:[18],Source:[18],Source:[18],Source:[18],Source:[18],Source:[18]
