Unnamed: 0,Constructor,Titles,Seasons
1,Mercedes,8,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
2,Ferrari,6,"1999, 2000, 2001, 2002, 2003, 2004"
3,McLaren,4,"1988, 1989, 1990, 1991"
3,Red Bull Racing,4,"2010, 2011, 2012, 2013"
4,Ferrari,3,"1975, 1976, 1977"
4,Williams,3,"1992, 1993, 1994"
7,Cooper,2,"1959, 1960"
7,Brabham,2,"1966, 1967"
7,Team Lotus,2,"1972, 1973"
7,Williams,2,"1980, 1981"
7,Williams,2,"1986, 1987"
7,Williams,2,"1996, 1997"
7,Ferrari,2,"1982, 1983"
7,Ferrari,2,"2007, 2008"
7,McLaren,2,"1984, 1985"
7,McLaren,2,"2024, 2025 (ongoing)"
7,Renault,2,"2005, 2006"
7,Red Bull Racing,2,"2022, 2023"
Source:[44],Source:[44],Source:[44],Source:[44]
