Unnamed: 0,Constructor,Poles,Season(s),Races
1,Williams,24,1992–1993,1992 French Grand Prix – 1993 Japanese Grand Prix
2,Mercedes,23,2014–2015,2014 British Grand Prix – 2015 Italian Grand Prix
3,Mercedes,18,2016–2017,2016 Canadian Grand Prix – 2017 Bahrain Grand Prix
4,McLaren,17,1988–1989,1988 German Grand Prix – 1989 German Grand Prix
5,Red Bull Racing,16,2010–2011,2010 Abu Dhabi Grand Prix – 2011 Japanese Grand Prix
6,Mercedes,14,2019–2020,2019 Abu Dhabi Grand Prix – 2020 Emilia Romagna Grand Prix
7,McLaren,12,1989–1990,1989 Belgian Grand Prix – 1990 Mexican Grand Prix
8,Mercedes,11,2015–2016,2015 Japanese Grand Prix – 2016 Spanish Grand Prix
9,Lotus,10,1967–1968,1967 Dutch Grand Prix – 1968 South African Grand Prix
9,Williams,10,1996–1997,1996 Belgian Grand Prix – 1997 Spanish Grand Prix
Source:[14],Source:[14],Source:[14],Source:[14],Source:[14]
