Unnamed: 0,Constructor,Fastest Laps,Season(s),Races
1,Ferrari,9,2004,2004 Bahrain Grand Prix – 2004 British Grand Prix
2,Ferrari,8,1970–1971,1970 German Grand Prix – 1971 Spanish Grand Prix
3,Ferrari,7,1952–1953,1952 Belgian Grand Prix – 1953 Argentine Grand Prix
3,Mercedes,7,2014,2014 British Grand Prix – 2014 Japanese Grand Prix
5,Alfa Romeo,6,1951,1951 Belgian Grand Prix – 1951 Spanish Grand Prix
5,McLaren,6,1988,1988 San Marino Grand Prix – 1988 French Grand Prix
5,McLaren,6,1999,1999 French Grand Prix – 1999 Belgian Grand Prix
5,McLaren,6,2005,2005 French Grand Prix – 2005 Italian Grand Prix
5,Williams,6,1993,1993 Hungarian Grand Prix – 1993 Australian Grand Prix
5,Ferrari,6,2002,2002 German Grand Prix – 2002 Japanese Grand Prix
5,Ferrari,6,2007,2007 United States Grand Prix – 2007 Turkish Grand Prix
5,Ferrari,6,2008,2008 Spanish Grand Prix – 2008 British Grand Prix
5,Ferrari,6,2008,2008 Hungarian Grand Prix – 2008 Japanese Grand Prix
Source:[23],Source:[23],Source:[23],Source:[23],Source:[23]
