Unnamed: 0,Constructor,Podiums,Season(s),Races
1,Ferrari,53,1999–2002,1999 Malaysian Grand Prix – 2002 Japanese Grand Prix
2,Mercedes,28,2014–2015,2014 Australian Grand Prix – 2015 British Grand Prix
3,Ferrari,22,2003–2005,2003 Italian Grand Prix – 2005 Australian Grand Prix
3,Mercedes,22,2017–2018,2017 Canadian Grand Prix – 2018 French Grand Prix
5,Mercedes,21,2016–2017,2016 Monaco Grand Prix – 2017 Spanish Grand Prix
6,McLaren,19,2007–2008,2007 Australian Grand Prix – 2008 Malaysian Grand Prix
6,Red Bull Racing,19,2010–2011,2010 Brazilian Grand Prix – 2011 Indian Grand Prix
6,Red Bull Racing,19,2022,2022 Saudi Arabian Grand Prix – 2022 Mexico City Grand Prix
9,Williams,17,1993–1994,1993 South African Grand Prix – 1994 Brazilian Grand Prix
9,Renault,17,2005–2006,2005 Turkish Grand Prix – 2006 French Grand Prix
9,Mercedes,17,2021–2022,2021 French Grand Prix – 2022 Bahrain Grand Prix
Source:[27],Source:[27],Source:[27],Source:[27],Source:[27]
