Unnamed: 0,Driver,Points finishes,Races
1,Ferrari,81,2010 German Grand Prix – 2014 Singapore Grand Prix
2,Red Bull Racing,77,2022 Saudi Arabian Grand Prix – 2025 Canadian Grand Prix
3,McLaren,64,2010 Bahrain Grand Prix – 2013 Monaco Grand Prix
4,Mercedes,62,2012 Brazilian Grand Prix – 2016 Russian Grand Prix
4,Mercedes,62,2021 French Grand Prix – 2024 Saudi Arabian Grand Prix
6,McLaren,59,2023 Austrian Grand Prix – 2025 São Paulo Grand Prix
7,Ferrari,55,1999 Malaysian Grand Prix – 2003 Malaysian Grand Prix
7,Mercedes,55,2018 British Grand Prix – 2021 Monaco Grand Prix
9,Ferrari,46,2006 San Marino Grand Prix – 2008 Italian Grand Prix
9,Ferrari,46,2017 Malaysian Grand Prix – 2019 United States Grand Prix
Source:[32],Source:[32],Source:[32],Source:[32]
