Unnamed: 0,Constructor,Races led,Races
1,Mercedes,39,2018 Brazilian Grand Prix – 2020 Sakhir Grand Prix
2,Williams,31,1995 French Grand Prix – 1997 San Marino Grand Prix
3,McLaren,28,1988 Brazilian Grand Prix – 1989 Italian Grand Prix
3,Mercedes,28,2014 Australian Grand Prix – 2015 British Grand Prix
5,Williams,26,1986 Belgian Grand Prix – 1987 Mexican Grand Prix
5,Williams,26,1992 French Grand Prix – 1994 Brazilian Grand Prix
7,Red Bull Racing,24,2010 Japanese Grand Prix – 2012 Australian Grand Prix
8,Ferrari,22,2003 Italian Grand Prix – 2005 Australian Grand Prix
9,Mercedes,21,2016 Monaco Grand Prix – 2017 Spanish Grand Prix
10,Ferrari,18,2002 Canadian Grand Prix – 2003 Canadian Grand Prix
Source:[37],Source:[37],Source:[37],Source:[37]
