Unnamed: 0,Constructor,Laps led,Races
1,McLaren,477,1988 Brazilian Grand Prix – 1988 French Grand Prix
2,Williams,419,1993 Canadian Grand Prix – 1993 Italian Grand Prix
3,Mercedes,413,2014 Australian Grand Prix – 2014 Canadian Grand Prix
4,Williams,407,1992 South African Grand Prix – 1992 Monaco Grand Prix
5,Red Bull Racing,344,2023 Azerbaijan Grand Prix – 2023 Austrian Grand Prix
6,Ferrari,340,1975 Italian Grand Prix – 1976 Spanish Grand Prix
7,Ferrari,305,1952 Belgian Grand Prix – 1952 Dutch Grand Prix
8,Mercedes,284,2016 British Grand Prix – 2016 Singapore Grand Prix
9,McLaren,282,1989 San Marino Grand Prix – 1989 Canadian Grand Prix
10,Mercedes,276,1955 Belgian Grand Prix – 1955 Italian Grand Prix
Source:[38],Source:[38],Source:[38],Source:[38]
