Unnamed: 0,Constructor,Distance (km),Races
1,Williams,2146,1993 Canadian Grand Prix – 1993 Italian Grand Prix
2,Ferrari,2075,1952 Belgian Grand Prix – 1952 Dutch Grand Prix
3,McLaren,2021,1988 Brazilian Grand Prix – 1988 French Grand Prix
4,Mercedes,1979,2014 Australian Grand Prix – 2014 Canadian Grand Prix
5,Mercedes,1862,1955 Belgian Grand Prix – 1955 Italian Grand Prix
6,Williams,1763,1992 South African Grand Prix – 1992 Monaco Grand Prix
7,Ferrari,1625,1975 Italian Grand Prix – 1976 Spanish Grand Prix
8,Red Bull Racing,1579,2023 Azerbaijan Grand Prix – 2023 Austrian Grand Prix
9,Mercedes,1509,2016 British Grand Prix – 2016 Singapore Grand Prix
10,Ferrari,1470,1953 French Grand Prix – 1953 Italian Grand Prix
Source:[39],Source:[39],Source:[39],Source:[39]
