Unnamed: 0,Constructor,WCC,Seasons
1,Ferrari,16,"1961, 1964, 1975, 1976, 1977, 1979, 1982, 1983, 1999, 2000, 2001, 2002, 2003, 2004, 2007, 2008"
2,McLaren,10,"1974, 1984, 1985, 1988, 1989, 1990, 1991, 1998, 2024, 2025"
3,Williams,9,"1980, 1981, 1986, 1987, 1992, 1993, 1994, 1996, 1997"
4,Mercedes,8,"2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
5,Lotus,7,"1963, 1965, 1968, 1970, 1972, 1973, 1978"
6,Red Bull Racing,6,"2010, 2011, 2012, 2013, 2022, 2023"
7,Cooper,2,"1959, 1960"
7,Brabham,2,"1966, 1967"
7,Renault,2,"2005, 2006"
10,Vanwall,1,1958
10,BRM,1,1962
10,Matra,1,1969
10,Tyrrell,1,1971
10,Benetton,1,1995
10,Brawn,1,2009
Source:[42],Source:[42],Source:[42],Source:[42]
