Unnamed: 0,Constructor,WDC,Seasons
1,Ferrari,15,"1952, 1953, 1956, 1958, 1961, 1964, 1975, 1977, 1979, 2000, 2001, 2002, 2003, 2004, 2007"
2,McLaren,13,"1974, 1976, 1984, 1985, 1986, 1988, 1989, 1990, 1991, 1998, 1999, 2008, 2025"
3,Mercedes,9,"1954 [N 8], 1955, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
4,Red Bull Racing,8,"2010, 2011, 2012, 2013, 2021, 2022, 2023, 2024"
5,Williams,7,"1980, 1982, 1987, 1992, 1993, 1996, 1997"
6,Lotus,6,"1963, 1965, 1968, 1970, 1972, 1978"
7,Brabham,4,"1966, 1967, 1981, 1983"
8,Alfa Romeo,2,"1950, 1951"
8,Maserati,2,"1954 [N 8], 1957"
8,Cooper,2,"1959, 1960"
8,Tyrrell,2,"1971, 1973"
8,Benetton,2,"1994, 1995"
8,Renault,2,"2005, 2006"
Source:[43],Source:[43],Source:[43],Source:[43]
