Constructor,Engine,Licensed in,Based in,Seasons,Races Entered,Races Started,Drivers,Total Entries,Wins,Points,Poles,FL,Podiums,WCC,WDC,Antecedent teams
Alpine,Mercedes,France,United Kingdom,2021–present,114,114,5,228,1,535.0,0,1,6,0,0,"Toleman (1981–1985), / Benetton (1986–2001), / Renault (2002–2011, 2016–2020), Lotus (2012–2015)"
Aston Martin,Honda,United Kingdom,United Kingdom,"1959–1960, 2021–present",120,119,7,239,0,597.0,0,3,9,0,0,"Jordan (1991–2005), Midland (2006), Spyker (2007), Force India (2008–2018), Force India (2018), Racing Point (2019–2020)"
Audi,Audi,Germany,Germany  Switzerland  United Kingdom,2026–present,0,0,0,0,0,0.0,0,0,0,0,0,"Sauber (1993–2005, 2010–2018),  BMW Sauber (2006–2009),  Alfa Romeo (2019–2023)  Kick Sauber (2024–2025)"
Cadillac,Ferrari,USA,USA  United Kingdom,2026–present,0,0,0,0,0,0.0,0,0,0,0,0,—
Ferrari,Ferrari,Italy,Italy,1950–present,1124,1122,83,2374,248,10722.0,254,265,836,16,15,—
Haas,Ferrari,United States,United States  United Kingdom  Italy,2016–present,214,214,9,428,0,386.0,1,3,0,0,0,—
McLaren,Mercedes,United Kingdom,United Kingdom,1966–present,998,994,52,2065,203,7790.5,177,183,558,10,13,—
Mercedes,Mercedes,Germany,United Kingdom[b],"1954–1955, 2010–present",341,341,13,694,131,8159.5,143,115,310,8,9,"Tyrrell (1970–1998), BAR (1999–2005), Honda (2006–2008), Brawn (2009)"
Racing Bulls,Red Bull Ford,Italy,Italy  United Kingdom,2024–present,48,48,4,96,0,138.0,0,1,1,0,0,"Minardi (1985–2005),  Toro Rosso (2006–2019)  AlphaTauri (2020–2023)"
Red Bull Racing,Red Bull Ford,Austria[c],United Kingdom,2005–present,418,417,13,836,130,8288.0,111,102,297,6,8,"Stewart (1997–1999), Jaguar (2000–2004)"
Williams,Mercedes,United Kingdom,United Kingdom,1978–present,851,850,49,1619,114,3774.0,128,134,315,9,7,—
