Unnamed: 0,Driver,Age,Place,Race
1,Louis Chiron,"55 years, 292 days",6th,1955 Monaco Grand Prix
2,Philippe Étancelin,"55 years, 191 days",8th,1952 French Grand Prix
3,Arthur Legat,"54 years, 232 days",Ret,1953 Belgian Grand Prix
4,Luigi Fagioli,"53 years, 22 days",1st,1951 French Grand Prix
5,Adolf Brudes,"52 years, 293 days",Ret,1952 German Grand Prix
6,Hans Stuck,"52 years, 260 days",14th,1953 Italian Grand Prix
7,Bill Aston,"52 years, 127 days",Ret,1952 German Grand Prix
8,Clemente Biondetti,"52 years, 16 days",Ret,1950 Italian Grand Prix
9,Louis Rosier,"50 years, 274 days",5th,1956 German Grand Prix
10,Rudolf Schoeller,"50 years, 98 days",Ret,1952 German Grand Prix
Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4],Sources:[3][4]
