Unnamed: 0,Driver,Engine,Seasons,Entries,Starts
1,Lewis Hamilton,Mercedes,2007–2024,356,356
2,Kimi Räikkönen‡,Ferrari,"2007–2009, 2014–2021",211,209
3,Lance Stroll,Mercedes[N 2],2017–2025,193,189
4,Michael Schumacher,Ferrari,1996–2006,181,179
5,Charles Leclerc,Ferrari,2018–2025,173,171
6,Fernando Alonso,Renault,"2003–2006, 2008–2009, 2018, 2021–2022",171,170
7,Valtteri Bottas,Mercedes,2014–2021,160,159
8,Sergio Pérez,Mercedes[N 2],2013–2020,156,154
9,George Russell,Mercedes,2019–2025,152,152
10,David Coulthard,Mercedes,1996–2004,150,150
Source:[7],Source:[7],Source:[7],Source:[7],Source:[7],Source:[7]
