Unnamed: 0,Driver,Season,Total laps,Laps led,Percentage
1,Max Verstappen,2023,1325,1003,75.70%
2,Jim Clark,1963,708,506,71.47%
3,Nigel Mansell,1992,1036,694,66.99%
4,Sebastian Vettel,2011,1133,739,65.23%
5,Michael Schumacher,1994,1046,646,61.76%
6,Michael Schumacher,2004,1122,683,60.87%
7,Sebastian Vettel,2013,1131,684,60.48%
8,Lewis Hamilton,2020,1037,613,59.11%
9,Alberto Ascari,1953,736,418,56.79%
10,Mika Hakkinen,1998,1015,576,56.75%
Source:[89],Source:[89],Source:[89],Source:[89],Source:[89],Source:[89]
