Unnamed: 0,Driver,Total,Races
1,Jim Clark,8,1962 British Grand Prix 1963 Dutch Grand Prix 1963 French Grand Prix 1963 Mexican Grand Prix 1964 British Grand Prix 1965 South African Grand Prix 1965 French Grand Prix 1965 German Grand Prix
2,Lewis Hamilton,6,2014 Malaysian Grand Prix 2015 Italian Grand Prix 2017 Chinese Grand Prix 2017 Canadian Grand Prix 2017 British Grand Prix 2019 Abu Dhabi Grand Prix
2,Max Verstappen,6,2021 Austrian Grand Prix 2022 Emilia Romagna Grand Prix 2023 Spanish Grand Prix 2023 Qatar Grand Prix 2024 Bahrain Grand Prix 2025 Azerbaijan Grand Prix
4,Alberto Ascari,5,1952 French Grand Prix 1952 German Grand Prix 1952 Dutch Grand Prix 1953 Argentine Grand Prix 1953 British Grand Prix
4,Michael Schumacher,5,1994 Monaco Grand Prix 1994 Canadian Grand Prix 2002 Spanish Grand Prix 2004 Australian Grand Prix 2004 Hungarian Grand Prix
6,Jackie Stewart,4,1969 French Grand Prix 1971 Monaco Grand Prix 1971 French Grand Prix 1972 United States Grand Prix
6,Ayrton Senna,4,1985 Portuguese Grand Prix 1989 Spanish Grand Prix 1990 Monaco Grand Prix 1990 Italian Grand Prix
6,Nigel Mansell,4,1991 British Grand Prix 1992 South African Grand Prix 1992 Spanish Grand Prix 1992 British Grand Prix
6,Sebastian Vettel,4,2011 Indian Grand Prix 2012 Japanese Grand Prix 2013 Singapore Grand Prix 2013 Korean Grand Prix
10,Nelson Piquet,3,1980 United States Grand Prix West 1981 Argentine Grand Prix 1984 Canadian Grand Prix
Source:[98],Source:[98],Source:[98],Source:[98]
