Unnamed: 0,Driver,Titles,Seasons
1,Michael Schumacher,7,"1994, 1995, 2000, 2001, 2002, 2003, 2004"
1,Lewis Hamilton,7,"2008, 2014, 2015, 2017, 2018, 2019, 2020"
3,Juan Manuel Fangio,5,"1951, 1954, 1955, 1956, 1957"
4,Alain Prost,4,"1985, 1986, 1989, 1993"
4,Sebastian Vettel,4,"2010, 2011, 2012, 2013"
4,Max Verstappen,4,"2021, 2022, 2023, 2024"
7,Jack Brabham,3,"1959, 1960, 1966"
7,Jackie Stewart,3,"1969, 1971, 1973"
7,Niki Lauda,3,"1975, 1977, 1984"
7,Nelson Piquet,3,"1981, 1983, 1987"
7,Ayrton Senna,3,"1988, 1990, 1991"
Sources:[99][100],Sources:[99][100],Sources:[99][100],Sources:[99][100]
