Unnamed: 0,Driver,Constructor,Titles,Seasons
1,Lewis Hamilton,Mercedes,6,"2014, 2015, 2017, 2018, 2019, 2020"
2,Michael Schumacher,Ferrari,5,"2000, 2001, 2002, 2003, 2004"
3,Sebastian Vettel,Red Bull,4,"2010, 2011, 2012, 2013"
3,Max Verstappen,Red Bull,4,"2021, 2022, 2023, 2024"
5,Alain Prost,McLaren,3,"1985, 1986, 1989"
5,Ayrton Senna,McLaren,3,"1988, 1990, 1991"
7,Alberto Ascari,Ferrari,2,"1952, 1953"
7,Juan Manuel Fangio,Mercedes,2,"1954, 1955"
7,Jack Brabham,Cooper,2,"1959, 1960"
7,Jim Clark,Lotus,2,"1963, 1965"
7,Jackie Stewart,Tyrrell,2,"1971, 1973"
7,Niki Lauda,Ferrari,2,"1975, 1977"
7,Nelson Piquet,Brabham,2,"1981, 1983"
7,Michael Schumacher,Benetton,2,"1994, 1995"
7,Mika Häkkinen,McLaren,2,"1998, 1999"
7,Fernando Alonso,Renault,2,"2005, 2006"
Source:[100],Source:[100],Source:[100],Source:[100],Source:[100]
