Unnamed: 0,Driver,Seasons,Entries,Wins,Percentage
1,Lewis Hamilton,2007–2025,380,105,27.63%
2,Michael Schumacher,"1991–2006, 2010–2012",308,91,29.55%
3,Max Verstappen,2015–2025,233,71,30.47%
4,Sebastian Vettel,2007–2022,300,53,17.67%
5,Alain Prost,"1980–1991, 1993",202,51,25.25%
6,Ayrton Senna,1984–1994,162,41,25.31%
7,Fernando Alonso,"2001, 2003–2018, 2021–2025",428,32,7.48%
8,Nigel Mansell,"1980–1992, 1994–1995",191,31,16.23%
9,Jackie Stewart,1965–1973,100,27,27.00%
10,Jim Clark,1960–1968,73,25,34.25%
10,Niki Lauda,"1971–1979, 1982–1985",177,25,14.12%
Source:[8],Source:[8],Source:[8],Source:[8],Source:[8],Source:[8]
