Unnamed: 0,Driver,Seasons,Starts,Wins,Percentage
1,Juan Manuel Fangio,"1950–1951, 1953–1958",51[N 3],24,47.06%
2,Alberto Ascari,1950–1955,32[N 4],13,40.63%
3,Jim Clark,1960–1968,72,25,34.72%
4,Max Verstappen,2015–2025,233,71,30.47%
5,Michael Schumacher,"1991–2006, 2010–2012",306,91,29.74%
6,Lewis Hamilton,2007–2025,380,105,27.63%
7,Jackie Stewart,1965–1973,99,27,27.27%
8,Alain Prost,1980–1993,199,51,25.63%
9,Ayrton Senna,1984–1994,161,41,25.47%
10,Stirling Moss,1951–1961,66,16,24.24%
Sources:[8][9],Sources:[8][9],Sources:[8][9],Sources:[8][9],Sources:[8][9],Sources:[8][9]
