Description,Record,Details,Ref.
Most podium finishes with the same constructor,153,Lewis Hamilton (Mercedes),[172]
Podium finishes with most different constructors,6,"Stirling Moss (Mercedes, Maserati, Vanwall, Cooper, Lotus, BRM)",[173]
Podiums at most different Grands Prix,37,Lewis Hamilton,[174]
Podiums at most different circuits,36,Lewis Hamilton,[175]
Most podiums at the same Grand Prix,14,Lewis Hamilton (British Grand Prix),[176]
Most podiums at the same circuit,15,Lewis Hamilton (Silverstone),[177]
Most podium finishes at a driver's national Grand Prix,14,Lewis Hamilton,[178]
Longest time between first and last podium finishes,"20 years, 228 days",Fernando Alonso (2003 Malaysian Grand Prix – 2023 São Paulo Grand Prix),[179]
Longest time between successive podium finishes,"7 years, 285 days",Alexander Wurz (1997 British Grand Prix – 2005 San Marino Grand Prix),[180]
Most races between successive podium finishes,105,Fernando Alonso (2014 Hungarian Grand Prix – 2021 Qatar Grand Prix),[181]
Most consecutive podium finishes from start of career,9,Lewis Hamilton (2007 Australian Grand Prix – 2007 British Grand Prix),[182]
Most podiums in a first championship season,12,Lewis Hamilton,[183]
Most seasons with a podium finish,18,Lewis Hamilton,[184]
Most consecutive seasons with a podium finish,18,Lewis Hamilton (2007 - 2024),[185]
Most podium finishers in a season,18 (1982),Alain Prost  Carlos Reutemann  René Arnoux  John Watson  Nigel Mansell  Niki Lauda  Keke Rosberg  Riccardo Patrese  Didier Pironi  Gilles Villeneuve  Michele Alboreto  Eddie Cheever  Andrea de Cesaris  Nelson Piquet  Patrick Tambay  Elio de Angelis  Jacques Laffite  Mario Andretti,[186]
Most podiums not starting from front row,72,Kimi Räikkönen,[187]
Most second places,57,Lewis Hamilton,[188]
Most third places,45,Kimi Räikkönen,[189]
Most podiums by the same duo,60,Lewis Hamilton and Max Verstappen,[190]
Most podiums by the same trio,20,"Valtteri Bottas, Lewis Hamilton and Max Verstappen",[191]
Most identical podium,8,"1st: Lewis Hamilton, 2nd: Nico Rosberg, 3rd: Sebastian Vettel",[192]
Most 1st and 2nd place podiums by the same duo,37,Lewis Hamilton and Max Verstappen,[193]
Most consecutive top two finishes,15,Michael Schumacher (2002 Brazilian Grand Prix – 2002 Japanese Grand Prix) Max Verstappen (2022 Abu Dhabi Grand Prix – 2023 Italian Grand Prix),[70]
Podiums from most different grid slots,17,"Max Verstappen (1st, 2nd, 3rd, 4th, 5th, 6th, 7th, 8th, 9th, 10th, 14th, 15th, 16th, 17th, 18th, 20th, pit-lane)",[194]
