Unnamed: 0,Driver,Constructor,Seasons,Wins,Starts,Percentage
1,Lewis Hamilton,Mercedes,2013–2024,84,246,34.15%
2,Michael Schumacher,Ferrari,1996–2006,72,179,40.22%
3,Max Verstappen,Red Bull,2016–2025,71,210,33.81%
4,Sebastian Vettel,Red Bull,2009–2014,38,113,33.63%
5,Ayrton Senna,McLaren,1988–1993,35,96,36.46%
6,Alain Prost,McLaren,"1980, 1984–1989",30,107,28.04%
7,Nigel Mansell,Williams,"1985–1988, 1991–1992, 1994",28,95,29.47%
8,Jim Clark,Lotus,1960–1968,25,72,34.72%
9,Nico Rosberg,Mercedes,2010–2016,23,136,16.91%
10,Damon Hill,Williams,1993–1996,21,65,32.31%
10,Lewis Hamilton,McLaren,2007–2012,21,110,19.09%
Source:[10],Source:[10],Source:[10],Source:[10],Source:[10],Source:[10],Source:[10]
