Unnamed: 0,Driver,Season,Wins,Races,Percentage
1,Max Verstappen,2023,19,22,86.36%
2,Max Verstappen,2022,15,22,68.18%
3,Michael Schumacher,2004,13,18,72.22%
3,Sebastian Vettel,2013,13,19,68.42%
5,Michael Schumacher,2002,11,17,64.71%
5,Sebastian Vettel,2011,11,19,57.89%
5,Lewis Hamilton,2014,11,19,57.89%
5,Lewis Hamilton,2018,11,21,52.38%
5,Lewis Hamilton,2019,11,21,52.38%
5,Lewis Hamilton,2020,11,17,64.71%
Sources:[11][12],Sources:[11][12],Sources:[11][12],Sources:[11][12],Sources:[11][12],Sources:[11][12]
