Unnamed: 0,Entry,Start,Driver,Race
1,194th race,190th race,Sergio Pérez,2020 Sakhir Grand Prix
2,151st race,150th race,Carlos Sainz Jr.,2022 British Grand Prix
3,132nd race,130th race,Mark Webber,2009 German Grand Prix
4,125th race,123rd race,Rubens Barrichello,2000 German Grand Prix
5,119th race,117th race,Jarno Trulli,2004 Monaco Grand Prix
6,115th race,113th race,Jenson Button,2006 Hungarian Grand Prix
7,111th race,111th race,Nico Rosberg,2012 Chinese Grand Prix
7,111th race,110th race,Giancarlo Fisichella,2003 Brazilian Grand Prix
9,110th race,110th race,Lando Norris,2024 Miami Grand Prix
10,99th race,96th race,Mika Häkkinen,1997 European Grand Prix
Source:[20],Source:[20],Source:[20],Source:[20],Source:[20]
