Unnamed: 0,Driver,Wins,Grand Prix,Seasons
1,Lewis Hamilton,9,British Grand Prix,"2008, 2014, 2015, 2016, 2017, 2019, 2020, 2021, 2024"
2,Michael Schumacher,8,French Grand Prix,"1994, 1995, 1997, 1998, 2001, 2002, 2004, 2006"
2,Lewis Hamilton,8,Hungarian Grand Prix,"2007, 2009, 2012, 2013, 2016, 2018, 2019, 2020"
4,Michael Schumacher,7,Canadian Grand Prix,"1994, 1997, 1998, 2000, 2002, 2003, 2004"
4,Michael Schumacher,7,San Marino Grand Prix,"1994, 1999, 2000, 2002, 2003, 2004, 2006"
4,Lewis Hamilton,7,Canadian Grand Prix,"2007, 2010, 2012, 2015, 2016, 2017, 2019"
7,Alain Prost,6,Brazilian Grand Prix,"1982, 1984, 1985, 1987, 1988, 1990"
7,Alain Prost,6,French Grand Prix,"1981, 1983, 1988, 1989, 1990, 1993"
7,Ayrton Senna,6,Monaco Grand Prix,"1987, 1989, 1990, 1991, 1992, 1993"
7,Michael Schumacher,6,Belgian Grand Prix,"1992, 1995, 1996, 1997, 2001, 2002"
7,Michael Schumacher,6,Spanish Grand Prix,"1995, 1996, 2001, 2002, 2003, 2004"
7,Michael Schumacher,6,Japanese Grand Prix,"1995, 1997, 2000, 2001, 2002, 2004"
7,Michael Schumacher,6,European Grand Prix,"1994, 1995, 2000, 2001, 2004, 2006"
7,Lewis Hamilton,6,United States Grand Prix,"2007, 2012, 2014, 2015, 2016, 2017"
7,Lewis Hamilton,6,Chinese Grand Prix,"2008, 2011, 2014, 2015, 2017, 2019"
7,Lewis Hamilton,6,Spanish Grand Prix,"2014, 2017, 2018, 2019, 2020, 2021"
Source:[25],Source:[25],Source:[25],Source:[25],Source:[25]
