Unnamed: 0,Driver,Seasons,Entries,Poles,Percentage
1,Lewis Hamilton,2007–2025,380,104,27.37%
2,Michael Schumacher,"1991–2006, 2010–2012",308,68,22.08%
3,Ayrton Senna,1984–1994,162,65,40.12%
4,Sebastian Vettel,2007–2022,300,57,19.00%
5,Max Verstappen,2015–2025,233,48,20.60%
6,Jim Clark,1960–1968,73,33,45.21%
6,Alain Prost,"1980–1991, 1993",202,33,16.34%
8,Nigel Mansell,"1980–1992, 1994–1995",191,32,16.75%
9,Nico Rosberg,2006–2016,206,30,14.56%
10,Juan Manuel Fangio,"1950–1951, 1953–1958",52,29,55.77%
Source:[30],Source:[30],Source:[30],Source:[30],Source:[30],Source:[30]
