Unnamed: 0,Driver,Poles,Races,Unnamed: 4
1,Ayrton Senna,8,1988 Spanish – 1989 United States,
1,Max Verstappen,8,2023 Abu Dhabi – 2024 Emilia Romagna,
3,Ayrton Senna,7,1990 Spanish – 1991 Monaco,
3,Alain Prost,7,1993 South African – 1993 Canadian,
3,Michael Schumacher,7,2000 Italian – 2001 Brazilian,
3,Lewis Hamilton,7,2015 Monaco – 2015 Italian,
7,Niki Lauda,6,1974 Dutch – 1974 Italian,
7,Ayrton Senna,6,1988 Brazilian – 1988 Detroit,
7,Ayrton Senna,6,1989 Belgian – 1989 Australian,
7,Nigel Mansell,6,1992 South African – 1992 Monaco,
7,Mika Häkkinen,6,1999 British – 1999 Italian,
7,Nico Rosberg,6,2015 Japanese – 2015 Abu Dhabi,
7,Lewis Hamilton,6,2016 United States – 2017 Chinese,
Source:[31],Source:[31],Source:[31],Source:[31],Source:[31]
