Unnamed: 0,Driver,Season,Poles,Races
1,Alain Prost,1993,7,South African – Canadian
1,Max Verstappen,2024,7,Bahrain – Emilia Romagna
3,Ayrton Senna,1988,6,Brazilian – Detroit
3,Nigel Mansell,1992,6,South African – Monaco
5,Ayrton Senna,1989,5,Brazilian – United States
5,Mika Häkkinen,1999,5,Australian – Spanish
7,Ayrton Senna,1991,4,United States – Monaco
7,Jacques Villeneuve,1997,4,Australian – San Marino
7,Sebastian Vettel,2011,4,Australian – Turkish
7,Lewis Hamilton,2015,4,Australian – Bahrain
Source:[32],Source:[32],Source:[32],Source:[32],Source:[32]
