Unnamed: 0,Driver,Poles,Grand Prix,Seasons,Unnamed: 5
1,Ayrton Senna,7,San Marino Grand Prix,"1985, 1986, 1987, 1988, 1989, 1990, 1991",
2,Lewis Hamilton,6,Australian Grand Prix,"2014, 2015, 2016, 2017, 2018, 2019",
3,Michael Schumacher,5,Japanese Grand Prix,"1998, 1999, 2000, 2001, 2002",
3,Michael Schumacher,5,Spanish Grand Prix,"2000, 2001, 2002, 2003, 2004",
5,Stirling Moss,4,British Grand Prix,"1955, 1956, 1957, 1958",
5,Jim Clark,4,British Grand Prix,"1962, 1963, 1964, 1965",
5,Jim Clark,4,French Grand Prix,"1962, 1963, 1964, 1965",
5,Ayrton Senna,4,Australian Grand Prix,"1988, 1989, 1990, 1991",
5,Ayrton Senna,4,Brazilian Grand Prix,"1988, 1989, 1990, 1991",
5,Ayrton Senna,4,Italian Grand Prix,"1988, 1989, 1990, 1991",
5,Ayrton Senna,4,Monaco Grand Prix,"1988, 1989, 1990, 1991",
5,Ayrton Senna,4,Belgian Grand Prix,"1988, 1989, 1990, 1991",
5,Michael Schumacher,4,Malaysian Grand Prix,"1999, 2000, 2001, 2002",
5,Sebastian Vettel,4,Japanese Grand Prix,"2009, 2010, 2011, 2012",
5,Lewis Hamilton,4,Italian Grand Prix,"2014, 2015, 2016, 2017",
5,Lewis Hamilton,4,Malaysian Grand Prix,"2014, 2015, 2016, 2017",
5,Lewis Hamilton,4,British Grand Prix,"2015, 2016, 2017, 2018",
5,Max Verstappen,4,Abu Dhabi Grand Prix,"2020, 2021, 2022, 2023",
5,Max Verstappen,4,Austrian Grand Prix,"2021, 2022, 2023, 2024",
5,Max Verstappen,4,Japanese Grand Prix,"2022, 2023, 2024, 2025 (ongoing)",
5,Charles Leclerc,4,Azerbaijan Grand Prix,"2021, 2022, 2023, 2024",
Source:[34],Source:[34],Source:[34],Source:[34],Source:[34],Source:[34]
