Unnamed: 0,Driver,Season,Races,Poles,WDC
1,Sebastian Vettel,2011,19,15,1st
2,Nigel Mansell,1992,16,14,1st
3,Ayrton Senna,1988,16,13,1st
3,Ayrton Senna,1989,16,13,2nd
3,Alain Prost,1993,16,13,1st
6,Lewis Hamilton,2016,21,12,2nd
6,Max Verstappen,2023,22,12,1st
8,Mika Häkkinen,1999,16,11,1st
8,Michael Schumacher,2001,17,11,1st
8,Nico Rosberg,2014,19,11,2nd
8,Lewis Hamilton,2015,19,11,1st
8,Lewis Hamilton,2017,20,11,1st
8,Lewis Hamilton,2018,21,11,1st
Source:[35],Source:[35],Source:[35],Source:[35],Source:[35],Source:[35]
