Unnamed: 0,Driver,Seasons,Poles,Wins,Percentage
1,Max Verstappen,2015–2025,48,37,77.08%
2,Oscar Piastri,2023–2025,6,4,66.67%
2,Emerson Fittipaldi,1970–1980,6,4,66.67%
4,Alberto Ascari,1950–1955,14,9,64.29%
5,Fernando Alonso,"2001, 2003–2018, 2021–2025",22,14,63.64%
6,Jenson Button,2000–2017,8,5,62.50%
7,Michael Schumacher,"1991–2006, 2010–2012",68,40,58.82%
8,Lewis Hamilton,2007–2025,104,61,58.65%
9,Alain Prost,"1980–1991, 1993",33,18,54.55%
10,Sebastian Vettel,2007–2022,57,31,54.39%
Source:[36],Source:[36],Source:[36],Source:[36],Source:[36],Source:[36]
