Unnamed: 0,Entry,Driver,Race,Unnamed: 4
1,219th race,Sergio Pérez,2022 Saudi Arabian Grand Prix,
2,151st race,Carlos Sainz Jr.,2022 British Grand Prix,
3,141st race,Kevin Magnussen,2022 São Paulo Grand Prix,
4,132nd race,Mark Webber,2009 German Grand Prix,
5,119th race,Jarno Trulli,2004 Monaco Grand Prix,
6,116th race,Thierry Boutsen,1990 Hungarian Grand Prix,
7,111th race,Nico Rosberg,2012 Chinese Grand Prix,
8,94th race,Daniel Ricciardo,2016 Monaco Grand Prix,
8,94th race,Mika Häkkinen,1997 Luxembourg Grand Prix,
10,93rd race,Max Verstappen,2019 Hungarian Grand Prix,
Source:[38],Source:[38],Source:[38],Source:[38],Source:[38]
