Unnamed: 0,Driver,Seasons,Starts,Fastest laps,Percentage
1,Juan Manuel Fangio,"1950–1951, 1953–1958",51,23,45.10%
2,Jim Clark,1960–1968,72,28,38.89%
3,Alberto Ascari,1950–1955,32,12,37.50%
4,Stirling Moss,1951–1961,66,19,28.79%
5,Michael Schumacher,"1991–2006, 2010–2012",306,77,25.16%
6,José Froilán González,"1950–1957, 1960",26,6,23.08%
7,Alain Prost,"1980–1991, 1993",199,41,20.60%
8,Lewis Hamilton,2007–2025,380,68,17.89%
9,Damon Hill,1992–1999,115,19,16.52%
10,Nigel Mansell,"1980–1992, 1994–1995",187,30,16.04%
Source:[42],Source:[42],Source:[42],Source:[42],Source:[42],Source:[42]
