Unnamed: 0,Driver,Season,Races,Fastest laps,Percentage,WDC
1,Michael Schumacher,2004,18,10,55.56%,1st
1,Kimi Räikkönen,2008,18,10,55.56%,3rd
1,Kimi Räikkönen,2005,19,10,52.63%,2nd
4,Mika Häkkinen,2000,17,9,52.94%,2nd
4,Max Verstappen,2023,22,9,40.91%,1st
6,Nigel Mansell,1992,16,8,50.00%,1st
6,Michael Schumacher,1994,16,8,50.00%,1st
6,Michael Schumacher,1995,17,8,47.06%,1st
6,Lewis Hamilton,2015,19,8,42.11%,1st
10,Nelson Piquet,1986,16,7,43.75%,3rd
10,Alain Prost,1988,16,7,43.75%,2nd
10,Michael Schumacher,2002,17,7,41.18%,1st
10,Michael Schumacher,2006,18,7,38.89%,2nd
10,Mark Webber,2011,19,7,36.84%,3rd
10,Sebastian Vettel,2013,19,7,36.84%,1st
10,Lewis Hamilton,2014,19,7,36.84%,1st
10,Lewis Hamilton,2017,20,7,35.00%,1st
10,Valtteri Bottas,2018,21,7,33.33%,5th
Source:[44],Source:[44],Source:[44],Source:[44],Source:[44],Source:[44],Source:[44]
